canonical,model_kind,fit_cutoff_offset,forecast_horizon,label_horizon,explicit,feature_origin_offset,label_origin_offset,label_maturity_offset,score_feature_offset
ts_km_equilibrium_distance,generic,0,0,,False,,,,
ts_km_quasipotential_depth,generic,0,0,,False,,,,
ts_kramers_moyal_local_stability,generic,0,0,,False,,,,
ts_level_shift_score,generic,0,0,,False,,,,
ts_lo_mackinlay_vr,generic,0,0,,False,,,,
ts_lo_mackinlay_z,generic,0,0,,False,,,,
ts_local_lyapunov_exponent,kernel,0,0,,False,,,,
ts_lz_complexity,generic,0,0,,False,,,,
ts_markov_committor,state,0,0,,False,,,,
ts_markov_entropy_production,entropy,0,0,,False,,,,
ts_markov_mean_first_passage_time,dmd,0,0,,False,,,,
ts_markov_persistence,state,0,0,,False,,,,
ts_markov_spectral_gap,state,0,0,,False,,,,
ts_markov_state_entropy,entropy,0,0,,False,,,,
ts_markov_stationary_surprisal,state,0,0,,False,,,,
ts_markov_transition_surprisal,state,0,0,,False,,,,
ts_matrix_profile_discord_score,matrix_profile,0,0,,True,,,,
ts_matrix_profile_motif_age,matrix_profile,0,0,,True,,,,
ts_matrix_profile_motif_frequency,matrix_profile,0,0,,True,,,,
ts_matrix_profile_neighbor_dispersion,matrix_profile,0,0,,True,,,,
ts_matrix_profile_novelty,matrix_profile,0,0,,True,,,,
ts_mean_reversion_half_life,ar,0,0,,False,,,,
ts_mean_reversion_ou_approx_half_life,ar,0,0,,False,,,,
ts_motif_recurrence_count,matrix_profile,0,0,,True,,,,
ts_multi_regression_adjusted_r2_prior,regression,1,0,,False,,,,
ts_multi_regression_coeff,regression,0,0,,False,,,,
ts_multi_regression_coeff_prior,regression,1,0,,False,,,,
ts_multi_regression_coeff_stability,regression,0,0,,False,,,,
ts_multi_regression_forecast_error,regression,1,1,1,False,,,,
ts_multi_regression_forecast_error_z,regression,1,1,1,False,,,,
ts_multi_regression_r2,regression,0,0,,False,,,,
ts_multi_regression_r2_prior,regression,1,0,,False,,,,
ts_multi_regression_resid,regression,0,0,,False,,,,
ts_multi_regression_resid_z,regression,0,0,,False,,,,
ts_multiscale_entropy_slope,entropy,0,0,,False,,,,
ts_multiscale_permutation_entropy_slope,entropy,0,0,,False,,,,
ts_ordinal_irreversibility,generic,0,0,,False,,,,
ts_partial_corr,generic,0,0,,False,,,,
ts_path_leadlag_area,signature,0,0,,True,,,,
ts_path_signature_area,signature,0,0,,True,,,,
ts_path_signature_depth2_norm,signature,0,0,,True,,,,
ts_poly2_forecast_error,generic,1,1,1,False,,,,
ts_poly2_forecast_error_z,generic,1,1,1,False,,,,
ts_pseudocount_sample_entropy,entropy,0,0,,False,,,,
ts_quantile,regression,0,0,,False,,,,
ts_quantile_beta_spread,regression,0,0,,False,,,,
ts_quantile_crossing_spectral_concentration,regression,0,0,,False,,,,
ts_quantile_if,regression,0,0,,False,,,,
ts_quantile_kurtosis,regression,0,0,,False,,,,
ts_quantile_range,regression,0,0,,False,,,,
ts_quantile_regression_beta,regression,0,0,,False,,,,
ts_quantile_regression_coeff,regression,0,0,,False,,,,
ts_quantile_regression_coeff_prior,regression,1,0,,False,,,,
ts_quantile_regression_resid,regression,0,0,,False,,,,
ts_quantile_regression_slope,regression,0,0,,False,,,,
ts_quantile_skew,regression,0,0,,False,,,,
ts_quantile_transport_curvature,regression,0,0,,False,,,,
ts_quantile_transport_slope,regression,0,0,,False,,,,
ts_recurrence_determinism,rqa,0,0,,False,,,,
ts_recurrence_diagonal_entropy,rqa,0,0,,False,,,,
ts_recurrence_divergence,rqa,0,0,,False,,,,
ts_recurrence_laminarity,rqa,0,0,,False,,,,
ts_recurrence_longest_vertical_length,rqa,0,0,,False,,,,
ts_recurrence_mean_diagonal_length,rqa,0,0,,False,,,,
ts_recurrence_rate,rqa,0,0,,False,,,,
ts_recurrence_trapping_time,rqa,0,0,,False,,,,
ts_regime_duration,state,0,0,,False,,,,
ts_regression_forecast_error,regression,1,1,1,False,,,,
ts_regression_forecast_error_z,regression,1,1,1,False,,,,
ts_regression_in_sample_resid,regression,0,0,,False,,,,
ts_regression_intercept,regression,0,0,,False,,,,
ts_regression_r2,regression,0,0,,False,,,,
ts_regression_resid,regression,0,0,,False,,,,
ts_regression_resid_if,regression,0,0,,False,,,,
ts_regression_resid_mean,regression,0,0,,False,,,,
ts_regression_slope,regression,0,0,,False,,,,
ts_regression_tstat,regression,0,0,,False,,,,
ts_residualized_hsic,hsic,1,0,,True,,,,
ts_return_spectral_entropy,entropy,0,0,,False,,,,
ts_ridge_regression_coeff,regression,0,0,,False,,,,
ts_ridge_regression_coeff_prior,regression,1,0,,False,,,,
ts_ridge_regression_forecast_error,regression,1,1,1,False,,,,
ts_ridge_regression_forecast_error_z,regression,1,1,1,False,,,,
ts_ridge_regression_in_sample_resid,regression,0,0,,False,,,,
ts_ridge_regression_predictive_resid,regression,1,0,,False,,,,
ts_ridge_regression_resid_z,regression,0,0,,False,,,,
ts_rqa_determinism_fixed_rr,rqa,0,0,,False,,,,
ts_rqa_laminarity_fixed_rr,rqa,0,0,,False,,,,
ts_run_concentration,generic,0,0,,False,,,,
ts_run_efficiency,generic,0,0,,False,,,,
ts_run_strength,generic,0,0,,False,,,,
ts_sign_cluster_index,generic,0,0,,False,,,,
ts_sign_persistence,generic,0,0,,False,,,,
ts_signature_mahalanobis_anomaly,matrix_profile,0,0,,True,,,,
ts_spectral_centroid,spectral,0,0,,False,,,,
ts_spectral_entropy,entropy,0,0,,False,,,,
ts_spectral_flatness,spectral,0,0,,False,,,,
ts_spectral_low_frequency_ratio,spectral,0,0,,False,,,,
ts_spectral_peak_concentration,spectral,0,0,,False,,,,
ts_spectral_quality_factor,spectral,0,0,,False,,,,
ts_ssa_reconstruction_residual,ssa,0,0,,True,,,,
ts_state_age_percentile,state,0,0,,False,,,,
ts_state_density,state,0,0,,False,,,,
ts_state_entry_strength,state,0,0,,False,,,,
ts_state_exit_hazard,state,0,0,,False,,,,
ts_state_integral,state,0,0,,False,,,,
ts_state_residual_life,state,0,0,,False,,,,
ts_time_slope,generic,0,0,,False,,,,
ts_transfer_entropy,entropy,0,0,,False,,,,
ts_transfer_entropy_peak_excess,entropy,0,0,,False,,,,
ts_transfer_entropy_peak_lag,entropy,0,0,,False,,,,
ts_transfer_entropy_peak_strength,entropy,0,0,,False,,,,
ts_transition_intensity,generic,0,0,,False,,,,
ts_trend_tstat,generic,0,0,,False,,,,
ts_turning_point_ratio,generic,0,0,,False,,,,
ts_turnover_cost_quantile_distance,regression,0,0,,False,,,,
ts_turnover_near_cost_mass,generic,0,0,,False,,,,
ts_two_state_regime_probability,state,0,0,,False,,,,
ts_variance_ratio_proxy,ar,0,0,,False,,,,
ts_variance_ratio_slope,ar,0,0,,False,,,,
ts_vector_state_local_density,state,0,0,,False,,,,
ts_vector_state_mahalanobis,state,0,0,,False,,,,
ts_vol_shift_score,generic,0,0,,False,,,,
ts_wavelet_energy_slope,spectral,0,0,,False,,,,
ts_wavelet_entropy,entropy,0,0,,False,,,,
ts_wavelet_high_frequency_ratio,spectral,0,0,,False,,,,
ts_wavelet_low_frequency_ratio,spectral,0,0,,False,,,,
