canonical,category,status,role,backends,genuine_usable,semantic_golden_verified,source_contract_verified,parameter_injectivity_passed,blockers
holder_observed_topk_hhi,relation,experimental,,pandas_numpy;polars,False,False,False,True,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED
holder_peer_return_breadth,shareholder,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
holder_pledge_change,shareholder,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
holder_pledge_churn,,production,,pandas_numpy;polars,False,,,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
holder_pledge_concentration,shareholder,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
holder_pledge_ratio,shareholder,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
holder_pledged_holder_count,shareholder,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
holder_rank_stability,shareholder,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
holder_share_weighted_rank_migration,shareholder,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
holder_shareholder_network_centrality,shareholder,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
holder_shareholder_overlap_ratio,shareholder,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
holder_topk_share_sum,shareholder,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
holder_weighted_churn,shareholder,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
hump_decay,signal,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
ichimoku_cloud_position,technical_signal,experimental,,pandas_numpy;polars;sql,False,False,False,True,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED
ichimoku_cloud_width,technical_signal,experimental,,pandas_numpy;polars;sql,False,False,False,True,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED
ichimoku_kijun,technical_signal,experimental,,pandas_numpy;polars;sql,False,False,False,True,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED
ichimoku_senkou_a,technical_signal,experimental,,pandas_numpy;polars;sql,False,False,False,True,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED
ichimoku_senkou_b,technical_signal,experimental,,pandas_numpy;polars;sql,False,False,False,True,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED
ichimoku_tenkan,technical_signal,experimental,,pandas_numpy;polars;sql,False,False,False,True,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED
identity,,experimental,,pandas_numpy;polars;sql,False,,,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
idio_skew,price_volume,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
idio_vol,price_volume,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
index_entry_exit_event,index,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
index_event_decay,index,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
index_member,index,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
index_membership_age,index,experimental,,pandas_numpy;polars,False,False,False,True,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED
index_reconstitution_churn,index,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
index_weight,index,experimental,,pandas_numpy;polars;sql,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
index_weight_change,index,experimental,,pandas_numpy;polars,False,False,False,True,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED
index_weight_gap_to_free_float,index,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
industry_rolling_pca_loading,panel_model,experimental,,pandas_numpy;polars,False,False,False,True,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED
industry_size_neutralize,group_neutralization,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_abs_return_profile_cosine,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_amihud,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,True,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED
intra_amount_profile_cosine,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_amount_profile_jsd,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_bar_range_deviation,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
