canonical,model_like,execution_class,lane,legacy_local_predictive
cos_phase,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
cosh,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
coskewness_to_market,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
cot,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
cross_event,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
cs_actual_lof_score,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_autoencoder_reconstruction_error,True,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_bucket,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_bucket_fixed,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_bucket_historical,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_count,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_coverage_ratio,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_demean,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_fill_mean,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_fill_median,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_hartigan_dip,True,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_huber_resid,True,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_impute_mean,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_impute_median,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_isolation,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_isotonic_residual,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_isotonic_residual_lagged_direction,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_knn_distance,True,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_knn_graph_dirichlet_energy,True,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_knn_local_gradient_norm,True,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_knn_local_linear_residual,True,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_knn_local_moran,True,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_knn_neighbor_retention,True,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_knn_peer_mean_ex_self,True,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_knn_tangent_residual,True,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_lad_resid,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_local_curvature,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_local_density,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_local_density_score,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_mad,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_mad_zscore,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_mahalanobis_distance,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_mean,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_multi_resid,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_multi_ridge_resid,True,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_neighbor_gap,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_neutralize,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_pct_rank,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_physical_panel_coverage,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_predictability_mosaic_score,True,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_quantile,True,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_quantile_resid,True,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_rank_churn,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_rank_combined_churn,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_rank_composition_churn,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_rank_copula_entropy,False,research_structural,DIAGNOSTIC_RESEARCH,False
cs_rank_copula_mi,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_rank_gaussian,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_regression,True,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_relative_density_ratio,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_resid,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_residual_percentile,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_ridge_resid,True,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_robust_mahalanobis_mad,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_shrinkage_mahalanobis,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_sliced_wasserstein_copula_shift,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_spline_resid,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_std,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_sum,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_tail_breadth,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_tail_retention,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_trimmed_ols_resid,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_universe_coverage,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_valid_count,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_weighted_demean,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_weighted_mean,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_weighted_percentile_rank,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_weighted_zscore,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
cs_wls_resid,False,same_time_cross_sectional,DIAGNOSTIC_RESEARCH,False
csc,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
cube,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
date_diff_days,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
digital_count,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
directional_change_extent,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
directional_change_state,True,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
divide,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
dollar_volume,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
dollar_volume_zscore,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
donchian_lower,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
donchian_mid,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
donchian_position,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
donchian_upper,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
down_volume_ratio,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
earnings_yield,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
efficiency_ratio,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
eq,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
event_abnormal_return_past,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
event_active_count,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
event_allan_factor,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
