canonical,lane
ts_recurrence_mean_diagonal_length,DIAGNOSTIC_RESEARCH
ts_recurrence_rate,DIAGNOSTIC_RESEARCH
ts_recurrence_trapping_time,DIAGNOSTIC_RESEARCH
ts_regime_duration,DIAGNOSTIC_RESEARCH
ts_regression_forecast_error,FAST_NATIVE_ALPHA
ts_regression_forecast_error_z,FAST_NATIVE_ALPHA
ts_regression_in_sample_resid,DIAGNOSTIC_RESEARCH
ts_regression_intercept,DIAGNOSTIC_RESEARCH
ts_regression_r2,DIAGNOSTIC_RESEARCH
ts_regression_resid,DIAGNOSTIC_RESEARCH
ts_regression_resid_if,DIAGNOSTIC_RESEARCH
ts_regression_resid_mean,DIAGNOSTIC_RESEARCH
ts_regression_slope,FAST_NATIVE_ALPHA
ts_regression_tstat,DIAGNOSTIC_RESEARCH
ts_residualized_hsic,DIAGNOSTIC_RESEARCH
ts_return_spectral_entropy,DIAGNOSTIC_RESEARCH
ts_ridge_regression_coeff,DIAGNOSTIC_RESEARCH
ts_ridge_regression_coeff_prior,FAST_NATIVE_ALPHA
ts_ridge_regression_forecast_error,FAST_NATIVE_ALPHA
ts_ridge_regression_forecast_error_z,FAST_NATIVE_ALPHA
ts_ridge_regression_in_sample_resid,DIAGNOSTIC_RESEARCH
ts_ridge_regression_predictive_resid,FAST_NATIVE_ALPHA
ts_ridge_regression_resid_z,DIAGNOSTIC_RESEARCH
ts_rqa_determinism_fixed_rr,DIAGNOSTIC_RESEARCH
ts_rqa_laminarity_fixed_rr,DIAGNOSTIC_RESEARCH
ts_run_concentration,DIAGNOSTIC_RESEARCH
ts_run_efficiency,DIAGNOSTIC_RESEARCH
ts_run_strength,DIAGNOSTIC_RESEARCH
ts_sign_cluster_index,DIAGNOSTIC_RESEARCH
ts_sign_persistence,DIAGNOSTIC_RESEARCH
ts_signature_mahalanobis_anomaly,EXPENSIVE_CERTIFIED_ALPHA
ts_spectral_centroid,DIAGNOSTIC_RESEARCH
ts_spectral_entropy,DIAGNOSTIC_RESEARCH
ts_spectral_flatness,DIAGNOSTIC_RESEARCH
ts_spectral_low_frequency_ratio,DIAGNOSTIC_RESEARCH
ts_spectral_peak_concentration,DIAGNOSTIC_RESEARCH
ts_spectral_quality_factor,DIAGNOSTIC_RESEARCH
ts_ssa_reconstruction_residual,EXPENSIVE_CERTIFIED_ALPHA
