canonical	module	panels	scalars	specs	reason
category_transition_surprise	factor_engine.cleaned_operators.technical.event_state_derivations_v1			window	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
cdl_doji	factor_engine.cleaned_operators.price_volume.technical_extensions	open,high,low,close			NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
cdl_engulfing	factor_engine.cleaned_operators.price_volume.technical_extensions	open,high,low,close			NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
cdl_hammer	factor_engine.cleaned_operators.price_volume.technical_extensions	open,high,low,close			NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
cdl_inside_bar	factor_engine.cleaned_operators.price_volume.technical_extensions	open,high,low,close			NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
cdl_inverted_hammer	factor_engine.cleaned_operators.price_volume.technical_extensions	open,high,low,close			NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
cdl_marubozu	factor_engine.cleaned_operators.price_volume.technical_extensions	open,high,low,close			NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
cdl_outside_bar	factor_engine.cleaned_operators.price_volume.technical_extensions	open,high,low,close			NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
cdl_shooting_star	factor_engine.cleaned_operators.price_volume.technical_extensions	open,high,low,close			NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
cdl_spinning_top	factor_engine.cleaned_operators.price_volume.technical_extensions	open,high,low,close			NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
choppiness_index	factor_engine.cleaned_operators.price_volume.technical_extensions	high,low,close,window			NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
corwin_schultz_spread	factor_engine.cleaned_operators.price_volume.liquidity_v2	high,low,window			MISSING_AUTHORITATIVE_PARAM_SPEC
coskewness_to_market	factor_engine.cleaned_operators.price_volume.ops				MISSING_AUTHORITATIVE_PARAM_SPEC
dollar_volume	factor_engine.cleaned_operators.price_volume.technical_extensions	close,volume			NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
dollar_volume_zscore	factor_engine.cleaned_operators.price_volume.technical_extensions	close,volume,window			NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
donchian_lower	factor_engine.cleaned_operators.price_volume.technical_extensions	low,window			NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
donchian_mid	factor_engine.cleaned_operators.price_volume.technical_extensions	high,low,window			NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
donchian_position	factor_engine.cleaned_operators.price_volume.technical_extensions	close,high,low,window			NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
donchian_upper	factor_engine.cleaned_operators.price_volume.technical_extensions	high,window			NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
down_volume_ratio	factor_engine.cleaned_operators.price_volume.liquidity_v2	ret,volume,window			MISSING_AUTHORITATIVE_PARAM_SPEC
efficiency_ratio	factor_engine.cleaned_operators.price_volume.technical_extensions	close,window			NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
event_cluster_duration	factor_engine.cleaned_operators.technical.event_state_derivations_v1			window	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
event_cluster_score	factor_engine.cleaned_operators.technical.event_state_v2			window,rate_window	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
event_decay_window	factor_engine.cleaned_operators.technical.event_state_derivations_v1			window,halflife	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
event_direction_imbalance	factor_engine.cleaned_operators.technical.event_state_derivations_v1			window	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
event_direction_persistence	factor_engine.cleaned_operators.technical.event_state_derivations_v1			window	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
event_flip_density	factor_engine.cleaned_operators.technical.event_state_derivations_v1			window	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
event_rate_pct	factor_engine.cleaned_operators.technical.event_state_v2			window	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
event_recency_z	factor_engine.cleaned_operators.technical.event_state_v2			window	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
