canonical,surface,available_at,same_session_usable,inferred_available_at,inferred_same_session_usable,input_panels,status
cdl_inverted_hammer,daily,,,,,[],OK
cdl_marubozu,daily,,,,,[],OK
cdl_morning_star,daily,,,session_close,False,"['open', 'high', 'low', 'close']",NEEDS_DECL
cdl_outside_bar,daily,,,,,[],OK
cdl_piercing,daily,,,session_close,False,"['open', 'high', 'low', 'close']",NEEDS_DECL
cdl_shooting_star,daily,,,,,[],OK
cdl_spinning_top,daily,,,,,[],OK
cdl_three_black_crows,daily,,,session_close,False,"['open', 'high', 'low', 'close']",NEEDS_DECL
cdl_three_white_soldiers,daily,,,session_close,False,"['open', 'high', 'low', 'close']",NEEDS_DECL
cdl_tweezer_bottom,daily,,,session_close,False,"['open', 'high', 'low', 'close']",NEEDS_DECL
cdl_tweezer_top,daily,,,session_close,False,"['open', 'high', 'low', 'close']",NEEDS_DECL
ceil,daily,,,,,['x'],OK
chikou_distance_pct,daily,,,,,[],OK
choppiness_index,daily,,,,,[],OK
circulating_cap_ratio_change,extended,,,,,[],OK
circulating_cap_unlock_proxy,daily,,,,,[],OK
clip,daily,,,,,['x'],OK
coalesce,daily,,,,,[],OK
composition_aitchison_distance,daily,,,,,[],OK
composition_clr_component,daily,,,,,[],OK
composition_entropy,daily,,,,,[],OK
composition_ilr_balance,daily,,,,,[],OK
composition_js_divergence,daily,,,,,[],OK
composition_normalized_entropy,extended,,,,,[],OK
consolidation_pct,daily,,,,,[],OK
consolidation_range_pct,daily,,,,,[],OK
corwin_schultz_spread,daily,,,,,[],OK
cos,daily,,,,,['x'],OK
cos_phase,extended,,,,,['x'],OK
coskewness_to_market,daily,,,session_close,False,"['ret', 'benchmark_ret']",NEEDS_DECL
cross_event,daily,,,,,"['x', 'y']",OK
cs1_monthly_lag_ratio,extended,,,,,['x'],OK
cs1_seasonal_relative_rank,extended,,,,,['x'],OK
cs1_seasonal_residual_smoothness,extended,,,,,['x'],OK
cs1_week_cycle_phase,extended,,,,,['x'],OK
cs1_weekday_anomaly,extended,,,,,['x'],OK
cs1_weekday_effect_strength,extended,,,,,['x'],OK
cs1_weekday_lag_ratio,extended,,,,,['x'],OK
cs1_weekday_lag_zscore,extended,,,,,['x'],OK
cs1_weekly_harmonic_power,extended,,,,,['x'],OK
cs_actual_lof_score,daily,,,,,[],OK
cs_autoencoder_reconstruction_error,extended,,,,,[],OK
cs_bucket,daily,,,,,['x'],OK
cs_bucket_fixed,daily,,,,,"['x', 'breaks']",OK
cs_bucket_historical,daily,,,,,['x'],OK
cs_count,daily,,,,,['x'],OK
cs_coverage_ratio,daily,,,,,['x'],OK
cs_demean,daily,,,,,['x'],OK
cs_empirical_bayes_shrinkage,extended,,,,,"['estimate', 'std_err']",OK
cs_factor_bucket_return,extended,,,session_close,False,"['factor', 'ret']",NEEDS_DECL
cs_fill_mean,daily,,,,,['x'],OK
cs_fill_median,daily,,,,,['x'],OK
cs_hartigan_dip,daily,,,,,[],OK
cs_huber_resid,daily,,,,,"['y', 'x']",OK
cs_impute_mean,daily,,,,,['x'],OK
