canonical,param,role,role_source
ts_lagged_mutual_information,min_periods,support_policy,rule
ts_lagged_mutual_information,bias_correction,policy,rule
ts_last_pivot_high,left_window,horizon,rule
ts_last_pivot_high,right_window,horizon,rule
ts_last_pivot_low,left_window,horizon,rule
ts_last_pivot_low,right_window,horizon,rule
ts_lempel_ziv_complexity,window,horizon,rule
ts_lempel_ziv_complexity,bins,estimator_resolution,rule
ts_lempel_ziv_complexity,min_contiguous_fraction,support_policy,rule
ts_lempel_ziv_complexity,min_effective_n,support_policy,rule
ts_mean_abs_deviation,window,horizon,authored
ts_median_abs_deviation,window,horizon,authored
ts_modwt_band_corr,window,horizon,rule
ts_modwt_band_corr,level,estimator_resolution,authored
ts_modwt_band_corr,band,estimator_resolution,authored
ts_moment,d,horizon,authored
ts_moment,k,economic,authored
ts_multiscale_permutation_entropy_slope,window,horizon,rule
ts_multiscale_permutation_entropy_slope,order,model_order,rule
ts_multiscale_permutation_entropy_slope,min_patterns,support_policy,rule
ts_multiscale_trend_consensus,window,policy,authored
ts_multiscale_trend_curvature,window,policy,authored
ts_multiscale_trend_dispersion,window,policy,authored
ts_mutual_information,window,horizon,rule
ts_mutual_information,bins,estimator_resolution,rule
ts_mutual_information,min_periods,support_policy,rule
ts_mutual_information,normalized,policy,rule
ts_mutual_information,bias_correction,policy,rule
ts_nearest_structural_level_distance,max_pivot_age,policy,authored
ts_ordinal_irreversibility,window,horizon,rule
ts_ordinal_irreversibility,order,model_order,rule
ts_ordinal_irreversibility,delay,estimator_resolution,rule
ts_ordinal_irreversibility,min_patterns,support_policy,rule
ts_pastor_stambaugh_liquidity_gamma,window,horizon,rule
ts_pastor_stambaugh_liquidity_gamma,min_periods,support_policy,rule
ts_pastor_stambaugh_liquidity_gamma,flow_scale,numerical,authored
ts_permutation_entropy,order,estimator_resolution,authored
ts_permutation_entropy,delay,estimator_resolution,authored
ts_permutation_transition_entropy,order,estimator_resolution,authored
ts_permutation_transition_entropy,delay,estimator_resolution,authored
ts_persistence_birth_dispersion,window,horizon,rule
ts_persistence_birth_dispersion,tau,estimator_resolution,rule
ts_persistence_birth_dispersion,dim,model_order,rule
ts_pettitt_change_score,window,horizon,rule
ts_pettitt_change_score,min_segment,support_policy,rule
ts_pickands_tail_index,window,horizon,rule
ts_pickands_tail_index,k,estimator_resolution,authored
ts_pickands_tail_index,side,policy,rule
ts_pivot_high_age,left_window,horizon,rule
ts_pivot_high_age,right_window,horizon,rule
ts_pivot_low_age,left_window,horizon,rule
ts_pivot_low_age,right_window,horizon,rule
ts_poly2_coeff,d,horizon,authored
ts_poly2_forecast_error,d,horizon,authored
ts_poly2_forecast_error_z,d,horizon,authored
ts_poly2_prior_coeff,d,horizon,authored
ts_poly2_resid,d,horizon,authored
ts_product,window,horizon,authored
ts_qn_scale,window,horizon,rule
ts_qn_scale,min_periods,support_policy,rule
ts_quantile,d,horizon,authored
ts_quantile,q,state_threshold,authored
ts_quantile_range,window,horizon,rule
ts_quantile_range,min_periods,estimator_resolution,authored
ts_rank,window,horizon,authored
ts_rank,min_periods,support_policy,authored
ts_recurrence_determinism,window,horizon,rule
ts_recurrence_determinism,dim,model_order,rule
ts_recurrence_determinism,delay,estimator_resolution,rule
ts_recurrence_determinism,eps_fraction,numerical,rule
ts_recurrence_determinism,min_line,support_policy,rule
ts_recurrence_determinism,min_periods,support_policy,rule
ts_recurrence_determinism,theiler,estimator_resolution,rule
ts_recurrence_laminarity,window,horizon,rule
ts_recurrence_laminarity,dim,model_order,rule
ts_recurrence_laminarity,delay,estimator_resolution,rule
ts_recurrence_laminarity,eps_fraction,numerical,rule
ts_recurrence_laminarity,min_line,support_policy,rule
ts_recurrence_laminarity,min_periods,support_policy,rule
ts_recurrence_laminarity,theiler,estimator_resolution,rule
ts_recurrence_longest_vertical_length,window,horizon,rule
ts_recurrence_longest_vertical_length,dim,model_order,rule
ts_recurrence_longest_vertical_length,delay,estimator_resolution,rule
ts_recurrence_longest_vertical_length,eps_fraction,numerical,rule
ts_recurrence_longest_vertical_length,min_line,support_policy,rule
ts_recurrence_longest_vertical_length,min_periods,support_policy,rule
ts_recurrence_longest_vertical_length,theiler,estimator_resolution,rule
ts_recurrence_mean_diagonal_length,window,horizon,rule
ts_recurrence_mean_diagonal_length,dim,model_order,rule
ts_recurrence_mean_diagonal_length,delay,estimator_resolution,rule
ts_recurrence_mean_diagonal_length,eps_fraction,numerical,rule
ts_recurrence_mean_diagonal_length,min_line,support_policy,rule
ts_recurrence_mean_diagonal_length,min_periods,support_policy,rule
ts_recurrence_mean_diagonal_length,theiler,estimator_resolution,rule
ts_regime_duration,window,horizon,rule
ts_regime_duration,transition_prob,policy,authored
ts_residualized_hsic,window,horizon,rule
ts_residualized_hsic,purge_gap,estimator_resolution,authored
ts_resistance_break,left_window,horizon,rule
ts_resistance_break,right_window,horizon,rule
ts_resistance_level,left_window,horizon,rule
ts_resistance_level,right_window,horizon,rule
ts_resistance_slope,left_window,horizon,rule
ts_resistance_slope,right_window,horizon,rule
ts_return_spectral_entropy,window,horizon,rule
ts_robust_zscore_prior,window,horizon,rule
ts_robust_zscore_prior,min_periods,estimator_resolution,authored
ts_rolling_sr_gaussian_mean_shift_score,window,horizon,rule
ts_rolling_sr_gaussian_mean_shift_score,shift_sigma,estimator_resolution,authored
ts_rolling_sr_gaussian_mean_shift_score,baseline_window,estimator_resolution,authored
ts_rolling_sr_gaussian_mean_shift_score,side,policy,rule
ts_rqa_determinism_fixed_rr,window,horizon,rule
ts_rqa_determinism_fixed_rr,dim,estimator_resolution,authored
ts_rqa_determinism_fixed_rr,delay,estimator_resolution,authored
ts_rqa_determinism_fixed_rr,target_rr,estimator_resolution,authored
ts_rqa_determinism_fixed_rr,min_line,support_policy,rule
ts_rqa_determinism_fixed_rr,min_periods,support_policy,rule
ts_rqa_determinism_fixed_rr,theiler,estimator_resolution,authored
ts_rqa_laminarity_fixed_rr,window,horizon,rule
ts_rqa_laminarity_fixed_rr,dim,estimator_resolution,authored
ts_rqa_laminarity_fixed_rr,delay,estimator_resolution,authored
ts_rqa_laminarity_fixed_rr,target_rr,estimator_resolution,authored
ts_rqa_laminarity_fixed_rr,min_line,support_policy,rule
ts_rqa_laminarity_fixed_rr,min_periods,support_policy,rule
ts_rqa_laminarity_fixed_rr,theiler,estimator_resolution,authored
ts_sharpe,window,horizon,authored
ts_sharpe,ann_factor,session_policy,authored
ts_signature_mahalanobis_anomaly,path_window,horizon,rule
ts_signature_mahalanobis_anomaly,history_window,horizon,rule
ts_spectral_centroid,window,horizon,rule
ts_spectral_entropy,window,horizon,rule
ts_spectral_flatness,window,horizon,rule
ts_spectral_peak_concentration,window,horizon,rule
