date,strategy_nav,benchmark_nav,excess_nav,strategy_ret,benchmark_ret
2023-09-12,5.15122745,1.60247796,3.21453872,-0.00408942,0.00213649
2023-09-13,5.09612435,1.58495782,3.21530598,-0.01069708,-0.01093315
2023-09-14,5.12854941,1.57866609,3.24866002,0.00636269,-0.00396965
2023-09-15,5.18526766,1.57745027,3.28711957,0.01105932,-0.00077015
2023-09-18,5.17632438,1.57616615,3.28412356,-0.00172475,-0.00081405
2023-09-19,5.19945338,1.5683924,3.31514829,0.00446823,-0.00493206
2023-09-20,5.18766864,1.56524708,3.31428099,-0.00226653,-0.00200544
2023-09-21,5.15571849,1.55516438,3.31522415,-0.00615887,-0.00644161
2023-09-22,5.13325333,1.56573523,3.27849386,-0.00435733,0.00679726
2023-09-25,5.15615137,1.5721692,3.27964151,0.00446073,0.00410924
2023-09-26,5.11327706,1.56659043,3.26395269,-0.00831518,-0.00354845
2023-09-27,5.08765231,1.56772359,3.2452483,-0.00501141,0.00072332
2023-09-28,5.14428691,1.57092027,3.27469637,0.01113178,0.00203906
2023-10-09,5.19195714,1.56942294,3.30819501,0.00926663,-0.00095316
2023-10-10,5.27776516,1.57557926,3.34973002,0.0165271,0.00392267
2023-10-11,5.33951613,1.57951464,3.38047904,0.01170021,0.00249773
2023-10-12,5.3538163,1.58987832,3.36743776,0.00267818,0.00656131
2023-10-13,5.38151359,1.58114342,3.40355815,0.00517337,-0.00549407
2023-10-16,5.3916864,1.56822224,3.4380882,0.00189032,-0.00817205
2023-10-17,5.3733956,1.56177437,3.44057101,-0.00339241,-0.00411159
2023-10-18,5.4192229,1.55030497,3.49558506,0.00852855,-0.00734382
2023-10-19,5.34014411,1.53480952,3.47935299,-0.01459227,-0.0099951
2023-10-20,5.24035637,1.51517474,3.45858219,-0.01868634,-0.01279298
2023-10-23,5.16318699,1.48891159,3.46775928,-0.01472598,-0.01733341
2023-10-24,5.1023594,1.49094183,3.42223908,-0.01178102,0.00136358
2023-10-25,5.20398712,1.51286268,3.4398278,0.01991779,0.01470269
2023-10-26,5.22162532,1.50199334,3.47646371,0.00338936,-0.00718462
2023-10-27,5.23828635,1.52516031,3.43458082,0.00319077,0.01542415
2023-10-30,5.2898135,1.54449457,3.42494795,0.00983664,0.01267687
2023-10-31,5.3206807,1.54432262,3.44531681,0.00583521,-0.00011133
2023-11-01,5.26881265,1.5421907,3.4164469,-0.00974839,-0.00138049
2023-11-02,5.20947643,1.53560925,3.39244924,-0.01126178,-0.0042676
2023-11-03,5.27778877,1.54114179,3.42459649,0.01311309,0.00360283
2023-11-06,5.40330715,1.56806629,3.44584104,0.02378238,0.01747048
2023-11-07,5.51217261,1.57657579,3.49629408,0.02014793,0.00542675
