date,strategy_nav,benchmark_nav,excess_nav,strategy_ret,benchmark_ret,excess_ret
2020-07-22,2.00752747,1.28788220,1.55878190,0.03147102,0.01101695,0.02045407
2020-07-23,1.99749314,1.27222604,1.57007723,-0.00499835,-0.01215652,0.00715816
2020-07-24,1.94217879,1.24754593,1.55679943,-0.02769188,-0.01939916,-0.00829273
2020-07-27,1.90350136,1.22814595,1.54989832,-0.01991446,-0.01555051,-0.00436395
2020-07-28,1.92883882,1.23979834,1.55576819,0.01331098,0.00948778,0.00382319
2020-07-29,1.99609248,1.25751785,1.58732736,0.03486744,0.01429225,0.02057519
2020-07-30,2.05883741,1.27152936,1.61918197,0.03143388,0.01114220,0.02029168
2020-07-31,2.06825934,1.27807987,1.61825516,0.00457633,0.00515168,-0.00057535
2020-08-03,2.13639883,1.30126966,1.64178025,0.03294533,0.01814424,0.01480109
2020-08-04,2.16293716,1.30925171,1.65204073,0.01242199,0.00613405,0.00628794
2020-08-05,2.17313627,1.30966895,1.65930197,0.00471540,0.00031868,0.00439672
2020-08-06,2.18207868,1.31211232,1.66302735,0.00411498,0.00186564,0.00224934
2020-08-07,2.14894100,1.29974811,1.65335190,-0.01518629,-0.00942313,-0.00576315
2020-08-10,2.12809847,1.29532870,1.64290228,-0.00969898,-0.00340021,-0.00629877
2020-08-11,2.13902631,1.30092394,1.64423626,0.00513503,0.00431955,0.00081547
2020-08-12,1.99841425,1.25997767,1.58607115,-0.06573648,-0.03147476,-0.03426173
2020-08-13,2.00877000,1.27224662,1.57891557,0.00518198,0.00973743,-0.00455545
2020-08-14,2.01375559,1.27690674,1.57705768,0.00248191,0.00366291,-0.00118100
2020-08-17,2.07847764,1.30804311,1.58899781,0.03213997,0.02438422,0.00775576
2020-08-18,2.12782906,1.31970581,1.61235105,0.02374402,0.00891614,0.01482788
2020-08-19,2.11657730,1.30781041,1.61841295,-0.00528791,-0.00901368,0.00372577
2020-08-20,2.06494920,1.28319166,1.60922897,-0.02439226,-0.01882440,-0.00556786
2020-08-21,2.08258312,1.28969892,1.61478240,0.00853964,0.00507115,0.00346849
2020-08-24,2.09345561,1.29633319,1.61490551,0.00522067,0.00514404,0.00007663
2020-08-25,2.13633856,1.30201102,1.64079914,0.02048429,0.00437992,0.01610437
2020-08-26,2.07928684,1.28376843,1.61967438,-0.02670537,-0.01401109,-0.01269429
2020-08-27,2.07148605,1.27940212,1.61910475,-0.00375167,-0.00340117,-0.00035050
2020-08-28,2.12479177,1.29726067,1.63790657,0.02573308,0.01395852,0.01177457
2020-08-31,2.15805636,1.31838604,1.63689261,0.01565546,0.01628459,-0.00062914
2020-09-01,2.16033307,1.30688289,1.65304258,0.00105498,-0.00872517,0.00978015
2020-09-02,2.18666337,1.31215223,1.66647080,0.01218807,0.00403199,0.00815608
2020-09-03,2.17197751,1.30899459,1.65927158,-0.00671611,-0.00240646,-0.00430964
2020-09-04,2.09841343,1.29078091,1.62569296,-0.03386963,-0.01391425,-0.01995538
2020-09-07,2.06333637,1.29124902,1.59793839,-0.01671599,0.00036266,-0.01707865
2020-09-08,2.00885200,1.27188476,1.57942926,-0.02640596,-0.01499653,-0.01140942
2020-09-09,1.95738894,1.24853938,1.56774305,-0.02561815,-0.01835495,-0.00726320
2020-09-10,1.94062625,1.24169628,1.56288320,-0.00856380,-0.00548089,-0.00308291
2020-09-11,1.92393240,1.23138938,1.56240782,-0.00860230,-0.00830065,-0.00030164
2020-09-14,1.98368479,1.25407889,1.58178628,0.03105743,0.01842594,0.01263149
2020-09-15,2.00172505,1.26042614,1.58813356,0.00909432,0.00506128,0.00403304
2020-09-16,2.00366449,1.26252024,1.58703554,0.00096888,0.00166142,-0.00069254
2020-09-17,2.00570593,1.25881628,1.59332698,0.00101885,-0.00293378,0.00395264
2020-09-18,2.03143571,1.27504470,1.59322705,0.01282829,0.01289181,-0.00006352
2020-09-21,2.06466663,1.28813318,1.60283630,0.01635834,0.01026512,0.00609323
2020-09-22,2.03462470,1.26875997,1.60363248,-0.01455050,-0.01503976,0.00048926
2020-09-23,2.05043406,1.26429334,1.62180247,0.00777016,-0.00352047,0.01129063
2020-09-24,2.03270999,1.24633994,1.63094347,-0.00864406,-0.01420034,0.00555629
2020-09-25,2.00619281,1.23872367,1.61956444,-0.01304524,-0.00611091,-0.00693433
2020-09-28,1.99573220,1.23697011,1.61340373,-0.00521416,-0.00141562,-0.00379854
2020-09-29,2.02515975,1.24511757,1.62648074,0.01474524,0.00658663,0.00815861
2020-09-30,2.03391563,1.24352571,1.63560401,0.00432355,-0.00127849,0.00560204
2020-10-09,2.10580269,1.27398683,1.65292344,0.03534417,0.02449578,0.01084840
2020-10-12,2.17494644,1.30455630,1.66719248,0.03283487,0.02399512,0.00883975
