name,raw_mean,raw_icir,half_life,decay_lambda,y2026_ic,y2026_icir,y2026_n,y2025_ic,y2025_icir,y2024_ic,ind_ic,ind_icir,size_ic,size_icir,both_ic,both_icir,m2026_mean,m2026_n
factor_negative_skew_stress_gated,0.028761541229027156,0.38947048951744767,0.8294334125034899,0.8356875550356838,0.021776091262428847,0.33078740520801964,114,0.027956792840348136,0.46965115569476146,0.031048384315561003,0.025417189774320424,0.45517320755611784,0.028206988126536024,0.43655903008196895,0.024747159738239308,0.5487253326436112,0.023277562066398444,6
factor_volatility_scaled_deviation,0.031985105465680896,0.23161858453616666,0.7708450983420169,0.8992042396725499,0.0037572210519192014,0.027924434186104165,114,0.04080933319075702,0.3424605559176422,0.04297266290223208,0.02254417584223442,0.2397410807961637,0.029025988378629457,0.23698909876646407,0.023703332243325333,0.28485547408315903,0.004132641923884114,6
factor_intraday_reversal_zscore_volume_short,0.013628405266348233,0.1290919905316093,nan,nan,0.011664231213844845,0.09767006026507329,114,0.011085215378758296,0.10272291756412145,0.010705706222553029,0.01193989803132094,0.16590177758025937,0.01166912663421024,0.11584073285054414,0.010946849252184468,0.15966182154961087,0.012480259945935846,6
factor_asym_ratio_pure,0.03587892434458081,0.4874695255210904,0.9430605200930895,0.7349975593205034,0.024880144464320637,0.3593263893762731,114,0.04157365627724388,0.5768220807368313,0.04479055536396865,0.034089701315660435,0.5867279850831378,0.035058705315871484,0.5479070391521148,0.033321111194004396,0.7117862671290673,0.024419293374003847,6
factor_lag_vol_robust_volratio,0.05065066354401488,0.48240434027578155,0.5013019718285001,1.3826939040987398,0.01667423119194618,0.138175304907824,114,0.06588937830052072,0.7625952345036912,0.0584816738227495,0.037253847999072436,0.485302816687974,0.04815980636660616,0.4709319298663992,0.03570016385371941,0.4708105597888718,0.016306558496522943,6
factor_range_asym_vol_smooth,0.03201707934460231,0.424459892682878,1.2110415511308763,0.5723562332875212,0.024585989343990727,0.3637821088230973,114,0.03745505016950902,0.5433300509823276,0.03979249059854404,0.03076411318986127,0.531458366780648,0.031206752443823798,0.4749503169494066,0.02999780173450635,0.6428052551002247,0.023861580473047334,6
factor_corr_volume_regime,0.04008987490593324,0.43883985463473013,0.3611889743238891,1.9190707076744244,0.025796212167223928,0.2770221526858615,114,0.04485258692534955,0.6063029779740848,0.0469782987620481,0.037012600719143494,0.5784303674734393,0.03979935773950083,0.4664226066878807,0.036803319143527365,0.6455826724248921,0.025392371681129552,6
factor_vol_regime_vol_ratio,0.04087102636290639,0.5543215143882245,0.34910543494337215,1.9854952434996598,0.023420382215703264,0.32006040045918155,114,0.049120645777570936,0.7297057712436511,0.04551698842619801,0.01884165800852639,0.2549435608108099,0.023904074613278408,0.18170817006953965,0.019966529353097263,0.25320872675139744,0.022916558568059634,6
factor_herding_pressure,0.03727208015316458,0.3910147920927942,0.33968822069723786,2.0405393485155416,0.022973964337117413,0.23467905933703018,114,0.043463653003730354,0.5264187020540906,0.048258826956342954,0.03363156542633099,0.5211937026295129,0.037671058522211226,0.4148684426416618,0.03407824398769204,0.5821995706157035,0.022527391921041178,6
factor_volume_pressure_imbalance,0.042999183230581085,0.3698077898700641,0.36473603733145704,1.9004077185003843,0.018637393654982244,0.15887896189722311,114,0.05396788938724058,0.5483355466456641,0.04795843433115684,0.03485243956193212,0.4302315319657473,0.042572952961908724,0.38625430610718503,0.034849443237800475,0.44846465929710416,0.018404615848199676,6
factor_volume_persistence_momentum_robust,0.024723017853307334,0.32496142457652616,0.7326189674286033,0.9461223519680375,-0.0020106572599442834,-0.028272742706377252,114,0.0333049232154433,0.49214689253721294,0.037667753799162845,0.01882408898979921,0.3069234819372488,0.025663134890165622,0.3649203116239642,0.019473537983590177,0.34738740208767677,-0.0037209058823470323,6
factor_herding_momentum_stress,0.03811457748788103,0.28465383417992923,0.33477999645258344,2.070455785604619,0.011324373533228465,0.08651969391962289,114,0.05119538050120955,0.4474528102851669,0.03896334570438809,0.02997737697903436,0.3173402282854358,0.03894994946344497,0.32520733857428397,0.031088667886293588,0.3715332394898389,0.010522452375247737,6
factor_vol_surge_regime_gated,0.04993268414902313,0.4509284922123073,0.4179901290365528,1.658286003446101,0.0170526234329556,0.14832240935270471,114,0.05997040241192914,0.6513726735908049,0.059044212154959023,0.04561518775544427,0.5708917947595901,0.04947000434149822,0.4950917736798661,0.04523486077348325,0.6774920758851658,0.016178611528591912,6
factor_mut_hc004_volpctrank_w8,0.04959637476865708,0.40651462511936903,0.11785915275426818,5.881148509569983,0.013327367889673331,0.10721530063726022,114,0.06352341211590957,0.620319305179726,0.05678332495103753,0.04287273603818986,0.48319981458514916,0.049176310855436695,0.45362328324221945,0.042676196672789705,0.5747908191785137,0.013114337294050317,6
factor_drawdown_std60_normalized,0.028159054654235093,0.19344709931944454,2.0644063035516362,0.3357610269681139,-0.01586563563668266,-0.09173339979998005,114,0.027664621455837382,0.19994184648758526,0.0442169747482585,0.02568020306135897,0.22738359105244987,0.026718901985442176,0.1918034437563369,0.02404511045731971,0.24109823937296168,-0.015325404691146563,6
factor_volume_trend_adjusted_impact,0.04449943174300235,0.38359613071872406,0.43807995998417104,1.5822389606340141,0.013342313973538356,0.11076494883225751,114,0.054761665175514125,0.5237025126848762,0.05280044185034413,0.03306364721880275,0.4476763364703122,0.03807598144876521,0.353097160429251,0.02961878539185427,0.4411263711976848,0.012805780357778107,6
factor_drawdown_vol_persistence,0.03531154483892802,0.2687254991186375,0.4195971625858672,1.6519348612565945,0.0039300099736002845,0.028532961279196224,114,0.04727920047563892,0.3814178916217321,0.04533888833696977,0.02916350374985012,0.31141197324051756,0.034357850453131916,0.2839205327692059,0.028078160663512822,0.34211936271220167,0.0028420524413371047,6
factor_adaptive_vol_volume_asym,0.032122797277088756,0.30303806747435147,0.3256709775072905,2.128366444763806,0.013196806872931104,0.13263997812280498,114,0.04324222465336049,0.48212006072776176,0.028535671687260386,0.029408138299472777,0.40441936437165377,0.033088545016858546,0.34829480348446,0.03029045864751483,0.5003639158224448,0.012473306234640285,6
factor_volume_pressure_reversal,0.030565689939979938,0.22023093445188857,0.3740336173693759,1.8531681334820491,0.006183659074268597,0.045717117354085235,114,0.041316932276707664,0.33623432786520563,0.03515476024912904,0.024951610192328874,0.26688770761898245,0.031934675281862245,0.2591080936564568,0.026027230866056485,0.33513683977199094,0.004918618359259565,6
factor_price_impact_stable_5d,0.039469859676847296,0.30205683281402024,0.4892161025819921,1.416852750556743,0.011168779817929459,0.08335117538429732,114,0.042212219521279404,0.3187306536528101,0.04618320204520815,0.034297585800633565,0.4110730641968928,0.040731879422691346,0.3552337542489054,0.03525876887897056,0.5263681351962133,0.011287519035018304,6
factor_abnormality_asymmetry,0.03787978510408518,0.45466514901954413,0.3566069337792568,1.9437288367169279,0.016246976036909156,0.18387957242186526,114,0.04317581079870522,0.5446568893875304,0.03217655142388669,0.024468899301870628,0.3575626843992414,0.03763371564262533,0.3675967371065876,0.0254965549848453,0.29475004954129447,0.01524114313770914,6
factor_stable_symmetry_reinforced,0.04050361452034219,0.4010017903780834,0.19856858159991705,3.4907193019917044,0.02240376216897587,0.22020334655905843,114,0.049352318250881266,0.45477909539671235,0.034776290060212565,0.03376528832435535,0.5528694635042265,0.040702007800635515,0.44462002348692126,0.033991515306285386,0.6243837618351183,0.022945488477859557,6
factor_roughness_trend_vol_short,0.03676750395480185,0.2581264857905719,0.3268336014366538,2.1207953451331094,0.004203277098230396,0.032247980900620254,114,0.050183000151535775,0.40110343921096314,0.04613348002794138,0.03042549921225545,0.3103635366762564,0.036881782397372845,0.29068060070184376,0.030306535755124087,0.37567038218811616,0.004309072551535444,6
factor_momentum_volratio,0.027697644195881433,0.19563842939572768,0.3486049042471107,1.9883460390695011,0.0027007821395204842,0.019242270304564858,114,0.03966546076634734,0.3102222690322535,0.032858810496346834,0.024740284022161226,0.2421687059504688,0.028596779030965604,0.22603283045920858,0.025414566625134367,0.3029371350583495,0.0014544210346936419,6
factor_volatility_asymmetry_spike_adj_ema5,0.03588019924105718,0.2877499267567797,0.2798335815297746,2.4769978526905057,0.014358115529121706,0.11978260808383402,114,0.04463748216425313,0.4158430470338072,0.030296500499336847,0.03374108180461127,0.3604999189084657,0.0372346515852106,0.33592521640416984,0.034966087194038084,0.4519733364672078,0.013486724804211966,6
factor_adx_trend_vol_ema,0.029098383176836367,0.2894384751519371,1.4244911177383373,0.4865928414214714,0.006062912795352625,0.058536143349686875,114,0.034537917509667955,0.39229091695231527,0.044885636918390405,0.026020766104648495,0.34566132304069686,0.028750173049301986,0.3082350772574145,0.025796097251772458,0.38804585957918636,0.006666058868439885,6
factor_volume_reversal_rank,0.012334820381602237,0.11676184967861983,nan,nan,0.008686975798664075,0.07060783083959336,114,0.010320409219796552,0.09657220388158212,0.007994243159502378,0.010851984449454274,0.15208235073274518,0.01226454789304963,0.1285089888274832,0.011037838219029046,0.1832255465419435,0.009460746384942561,6
factor_downside_vol_liquidity_momentum,0.032495546079042946,0.2425037375902997,0.39482940570759834,1.7555611880470583,-0.0037028736967639996,-0.02718165223882582,114,0.04248808705322795,0.3646363754527436,0.043420518387240065,0.02892765880017429,0.3112396016982617,0.031051130615722487,0.25381127535146875,0.02731517322780156,0.3469248040168819,-0.00518193097152215,6
factor_liquidity_range_gated_momentum_v5,0.030750266467150376,0.22202996535158548,0.3739692942935392,1.8534868801711677,0.004162392299669894,0.03041102627598966,114,0.044183078601475696,0.3554264235870944,0.03253365157001713,0.025308409940981273,0.27470138732882377,0.032518473596484285,0.27209033865581417,0.026155440841411734,0.3515650953544933,0.0030051610434748983,6
factor_asym_vol_cont_gate_30,0.03683677566155493,0.36880342303326435,1.1635069504305404,0.5957396131612753,0.01621706741526734,0.1514163219015175,114,0.04524614059978117,0.538666331781699,0.04924641530979178,0.03250198183006241,0.4260260466841358,0.035184959517785074,0.41000567275882377,0.030830160632449075,0.5111535192419495,0.01693149622852119,6
factor_volume_abnormality_range_interaction,0.02923466206158879,0.32437115022436575,2.0814234968685867,0.33301592953224357,0.01925823506065865,0.2155477858030938,114,0.03962548850790934,0.4386372643537196,0.02756613714234765,0.02623257197397779,0.44247269799686184,0.028826683015163255,0.3368929976074007,0.026242914540865973,0.4756576743765827,0.01964924897590403,6
factor_crash_volume_rank,0.030540953946572996,0.23156994557488148,0.3711486804525936,1.8675728005140524,0.006976329150461066,0.05386598135736213,114,0.042121972603015215,0.36464572407415874,0.03526306938171257,0.026048122455069912,0.2914464040239336,0.03176557415292368,0.2718534677126844,0.027021698814939033,0.3648614803121704,0.006373266207642406,6
factor_vwap_adjusted_range_tanh_mutated_v2,0.056696155836145366,0.4399889747880067,0.48055205754354435,1.4423976958981952,0.024744941553523633,0.17858355305457674,114,0.06259702420935195,0.48208583671864347,0.055263562430890874,0.04959571861258946,0.6167203539100828,0.05731600879316864,0.4828781144387364,0.05018181085568323,0.6846955785937904,0.024198567881101796,6
