factor_name,display_name,rank_ic_close_改VWAP前,rank_ic_vwap_改VWAP后,rank_ic_vwap_行业中性,rank_ic_vwap_市值中性,rank_ic_vwap_行业市值双中性,变化_close到vwap,变化_vwap到行业中性,变化_vwap到市值中性,变化_vwap到双中性,rank_icir_close_改VWAP前,rank_icir_vwap_改VWAP后,rank_icir_vwap_行业中性,rank_icir_vwap_市值中性,rank_icir_vwap_行业市值双中性,变化_rankicir_close到vwap,变化_rankicir_vwap到行业中性,变化_rankicir_vwap到市值中性,变化_rankicir_vwap到双中性,rank_ic_2026_中性化前,rank_ic_2026_行业中性,rank_ic_2026_市值中性,变化_2026_原始到行业中性,变化_2026_原始到市值中性,变化_2026_原始到双中性,rank_icir_2026_中性化前,rank_icir_2026_行业中性,rank_icir_2026_市值中性,变化_rankicir_2026_原始到行业中性,变化_rankicir_2026_原始到市值中性,变化_rankicir_2026_原始到双中性,rank_ic_2026_交易日数,rank_ic_2019_行业市值双中性,rank_icir_2019_行业市值双中性,rank_ic_2020_行业市值双中性,rank_icir_2020_行业市值双中性,rank_ic_2021_行业市值双中性,rank_icir_2021_行业市值双中性,rank_ic_2022_行业市值双中性,rank_icir_2022_行业市值双中性,rank_ic_2023_行业市值双中性,rank_icir_2023_行业市值双中性,rank_ic_2024_行业市值双中性,rank_icir_2024_行业市值双中性,rank_ic_2025_行业市值双中性,rank_icir_2025_行业市值双中性,rank_ic_2026_行业市值双中性,rank_icir_2026_行业市值双中性,备注
factor_liquidity_adaptive_momentum,factor_liquidity_adaptive_momentum,0.034414,0.032496,0.028928,0.031051,0.027315,-0.001919,-0.003568,-0.001444,-0.005180,0.242824,0.242504,0.311240,0.253811,0.346925,-0.000320,0.068736,0.011308,0.104421,-0.003703,-0.002996,-0.001708,0.000707,0.001995,0.002368,-0.027302,-0.034514,-0.014120,-0.007213,0.013181,0.009602,114,0.039208,0.559698,0.023677,0.289433,0.026990,0.333605,0.029951,0.389284,0.022890,0.286073,0.026694,0.301723,0.036207,0.534864,-0.001335,-0.017699,
factor_drawdown_normalized,factor_drawdown_normalized,0.033796,0.032444,0.027070,0.031635,0.026173,-0.001352,-0.005374,-0.000809,-0.006271,0.238081,0.241525,0.271829,0.256604,0.301301,0.003444,0.030304,0.015079,0.059777,0.001557,0.003590,0.002744,0.002033,0.001187,0.002267,0.011052,0.037786,0.020934,0.026734,0.009882,0.032761,114,0.027223,0.356669,0.017177,0.196216,0.029231,0.326681,0.034416,0.411121,0.019018,0.215932,0.030957,0.311402,0.035703,0.458751,0.003824,0.043813,
factor_drawdown_recovery,factor_drawdown_recovery,0.033796,0.032444,0.027070,0.031635,0.026173,-0.001352,-0.005374,-0.000809,-0.006271,0.238081,0.241525,0.271829,0.256604,0.301301,0.003444,0.030304,0.015079,0.059777,0.001557,0.003590,0.002744,0.002033,0.001187,0.002267,0.011052,0.037786,0.020934,0.026734,0.009882,0.032761,114,0.027223,0.356669,0.017177,0.196216,0.029231,0.326681,0.034416,0.411121,0.019018,0.215932,0.030957,0.311402,0.035703,0.458751,0.003824,0.043813,
week2_vol_regime_trend,week2:vol_regime_trend,0.033782,0.032430,0.024476,0.029771,0.022979,-0.001351,-0.007954,-0.002659,-0.009452,0.316653,0.328642,0.346456,0.339329,0.375633,0.011989,0.017814,0.010688,0.046991,0.013144,0.011770,0.015981,-0.001374,0.002837,-0.000948,0.129985,0.190832,0.167275,0.060847,0.037290,0.101080,114,0.031916,0.598822,0.018620,0.291891,0.016531,0.325261,0.023060,0.430271,0.019607,0.325123,0.023671,0.270960,0.032642,0.628968,0.012195,0.231065,
factor_adaptive_vol_volume_asym,factor_adaptive_vol_volume_asym,,0.032123,0.029408,0.033089,0.030290,,-0.002715,0.000966,-0.001832,,0.303038,0.404419,0.348295,0.500364,,0.101381,0.045257,0.197326,0.013197,0.012706,0.013074,-0.000491,-0.000123,-0.000624,0.133226,0.192344,0.144492,0.059119,0.011266,0.077820,114,0.036607,0.630219,0.029788,0.422592,0.030470,0.531602,0.028832,0.502180,0.032123,0.612451,0.026454,0.363887,0.036524,0.735191,0.012573,0.211045,无close基线
factor_range_asym_vol_smooth,factor_range_asym_vol_smooth,0.034109,0.032017,0.030764,0.031207,0.029998,-0.002092,-0.001253,-0.000810,-0.002019,0.434326,0.424460,0.531458,0.474950,0.642805,-0.009866,0.106998,0.050490,0.218345,0.024586,0.019121,0.025704,-0.005465,0.001118,-0.004591,0.365388,0.364272,0.425508,-0.001116,0.060120,0.071094,114,0.031348,0.886358,0.023345,0.522544,0.021262,0.479712,0.033505,0.720148,0.035116,0.805434,0.034245,0.584726,0.036003,0.760084,0.019995,0.436482,
factor_range_asym_log_short,factor_range_asym_log_short,0.034884,0.031999,0.029844,0.031967,0.029828,-0.002885,-0.002155,-0.000032,-0.002171,0.438257,0.432092,0.513921,0.491984,0.613931,-0.006165,0.081829,0.059892,0.181839,0.021207,0.018498,0.020694,-0.002708,-0.000513,-0.003248,0.320069,0.371052,0.336228,0.050983,0.016159,0.068103,114,0.037792,0.924764,0.024345,0.470904,0.023066,0.530216,0.026228,0.546362,0.035934,0.915928,0.033685,0.514900,0.033442,0.753016,0.017959,0.388172,
factor_volatility_scaled_deviation,factor_volatility_scaled_deviation,0.035775,0.031985,0.022544,0.029026,0.023703,-0.003790,-0.009441,-0.002959,-0.008282,0.244676,0.231619,0.239741,0.236989,0.284855,-0.013057,0.008122,0.005371,0.053237,0.003757,-0.001598,0.001251,-0.005355,-0.002506,-0.005444,0.028048,-0.018982,0.010860,-0.047030,-0.017187,-0.050151,114,0.029401,0.401409,0.021520,0.257239,0.023701,0.288806,0.017275,0.206485,0.024837,0.299230,0.031860,0.310778,0.029276,0.414485,-0.001687,-0.022103,
factor_simplified_fear_pressure,factor_simplified_fear_pressure,,0.031833,0.028825,0.032445,0.029308,,-0.003008,0.000612,-0.002525,,0.301661,0.379883,0.339453,0.456428,,0.078221,0.037791,0.154767,0.010012,0.008677,0.010672,-0.001335,0.000660,-0.000929,0.103281,0.126815,0.114994,0.023534,0.011713,0.035971,114,0.035010,0.759949,0.026300,0.403885,0.024905,0.371534,0.034740,0.585122,0.029618,0.464744,0.030715,0.401081,0.034277,0.551440,0.009083,0.139252,无close基线
factor_volume_adjusted_breakout_with_vol_filter_v2,factor_volume_adjusted_breakout_with_vol_filter_v2,0.032585,0.031681,0.012436,0.024696,0.013421,-0.000904,-0.019245,-0.006986,-0.018260,0.388696,0.395526,0.150623,0.173897,0.147706,0.006830,-0.244903,-0.221628,-0.247820,0.010758,0.002102,0.014444,-0.008656,0.003686,-0.006556,0.121543,0.027597,0.119626,-0.093946,-0.001917,-0.072656,114,0.026452,0.395711,0.020220,0.354181,0.017080,0.225284,0.012724,0.128961,0.001274,0.012231,0.004669,0.036965,0.017213,0.201557,0.004202,0.048887,
