datetime,asset,combo,n_factors,combo_rank,n_universe,sw_l1,style,date,side
2026-08-14,601828.SH,0.7310407815808214,197,52.0,5208,商贸零售,消费,2026-08-14,exit_on_0817
2026-08-14,600030.SH,0.7301032068581162,197,56.0,5208,非银金融,其他,2026-08-14,exit_on_0817
2026-08-14,688006.SH,0.7290686474448304,197,57.0,5208,电气设备,其他,2026-08-14,exit_on_0817
2026-08-14,000825.SZ,0.7288560909658678,197,58.0,5208,钢铁,其他,2026-08-14,exit_on_0817
2026-08-14,688116.SH,0.7285885607680702,197,61.0,5208,电气设备,其他,2026-08-14,exit_on_0817
2026-08-14,002320.SZ,0.7282035822116677,197,62.0,5208,交通运输,其他,2026-08-14,exit_on_0817
2026-08-14,600496.SH,0.7281709053837833,197,63.0,5208,建筑装饰,其他,2026-08-14,exit_on_0817
2026-08-14,601878.SH,0.7268426806229744,197,65.0,5208,非银金融,其他,2026-08-14,exit_on_0817
2026-08-14,601022.SH,0.7267850721850303,197,66.0,5208,交通运输,其他,2026-08-14,exit_on_0817
2026-08-14,002961.SZ,0.7259965874460613,197,68.0,5208,非银金融,其他,2026-08-14,exit_on_0817
2026-08-14,600167.SH,0.7256175709221977,197,69.0,5208,公用事业,其他,2026-08-14,exit_on_0817
2026-08-14,000927.SZ,0.7255904562198511,197,70.0,5208,机械设备,其他,2026-08-14,exit_on_0817
2026-08-14,600688.SH,0.7254865085802485,197,71.0,5208,石油石化,其他,2026-08-14,exit_on_0817
2026-08-14,688041.SH,0.7251812010873764,197,73.0,5208,电子,科技,2026-08-14,exit_on_0817
2026-08-14,688680.SH,0.724755068100143,197,74.0,5208,电气设备,其他,2026-08-14,exit_on_0817
2026-08-14,688707.SH,0.7242832100615326,197,75.0,5208,电气设备,其他,2026-08-14,exit_on_0817
2026-08-14,601319.SH,0.7241972180198981,197,76.0,5208,非银金融,其他,2026-08-14,exit_on_0817
2026-08-14,300839.SZ,0.7240982779492492,197,77.0,5208,石油石化,其他,2026-08-14,exit_on_0817
2026-08-14,600470.SH,0.7238344500926474,197,79.0,5208,化工,其他,2026-08-14,exit_on_0817
2026-08-14,603272.SH,0.7237476304483124,197,80.0,5208,轻工制造,消费,2026-08-14,exit_on_0817
2026-08-14,600187.SH,0.7234775752469567,197,81.0,5208,环保,其他,2026-08-14,exit_on_0817
2026-08-14,600416.SH,0.7234060273663688,197,82.0,5208,电气设备,其他,2026-08-14,exit_on_0817
2026-08-14,601065.SH,0.7232439604872382,197,83.0,5208,化工,其他,2026-08-14,exit_on_0817
2026-08-14,300867.SZ,0.7232398567548184,197,84.0,5208,环保,其他,2026-08-14,exit_on_0817
2026-08-14,600859.SH,0.7231842946190657,197,85.0,5208,商贸零售,消费,2026-08-14,exit_on_0817
2026-08-14,002136.SZ,0.7227452161159353,197,87.0,5208,化工,其他,2026-08-14,exit_on_0817
2026-08-14,603915.SH,0.7213349823006295,197,90.0,5208,机械设备,其他,2026-08-14,exit_on_0817
2026-08-14,688408.SH,0.7211675363864454,197,91.0,5208,电气设备,其他,2026-08-14,exit_on_0817
2026-08-14,002601.SZ,0.7211652069086494,197,92.0,5208,化工,其他,2026-08-14,exit_on_0817
2026-08-14,002011.SZ,0.7211547647566232,197,93.0,5208,家用电器,消费,2026-08-14,exit_on_0817
2026-08-14,603098.SH,0.7209884232346205,197,94.0,5208,建筑装饰,其他,2026-08-14,exit_on_0817
2026-08-14,603293.SH,0.720767173823754,197,95.0,5208,汽车,其他,2026-08-14,exit_on_0817
2026-08-14,002034.SZ,0.7205789140651739,197,97.0,5208,环保,其他,2026-08-14,exit_on_0817
2026-08-14,002736.SZ,0.7203006246382342,197,98.0,5208,非银金融,其他,2026-08-14,exit_on_0817
2026-08-14,601117.SH,0.7199836709089086,197,100.0,5208,建筑装饰,其他,2026-08-14,exit_on_0817
