date,strategy_nav,benchmark_nav,excess_nav,strategy_ret,benchmark_ret,excess_ret
2024-05-06,3.22495819,1.50951522,2.13641980,0.01118249,0.01092264,0.00025985
2024-05-07,3.22124996,1.50998284,2.13330236,-0.00114985,0.00030978,-0.00145964
2024-05-08,3.17343567,1.49574076,2.12164819,-0.01484340,-0.00943195,-0.00541145
2024-05-09,3.20134056,1.50877783,2.12181044,0.00879328,0.00871613,0.00007714
2024-05-10,3.18022022,1.50708322,2.11018222,-0.00659734,-0.00112317,-0.00547418
2024-05-13,3.16193868,1.50036543,2.10744571,-0.00574851,-0.00445748,-0.00129103
2024-05-14,3.16899441,1.50483107,2.10588051,0.00223146,0.00297637,-0.00074491
2024-05-15,3.14952654,1.49776380,2.10281924,-0.00614323,-0.00469639,-0.00144685
2024-05-16,3.13976035,1.49687567,2.09754251,-0.00310084,-0.00059297,-0.00250788
2024-05-17,3.14223851,1.49662152,2.09955455,0.00078928,-0.00016979,0.00095907
2024-05-20,3.17951323,1.52160602,2.08957718,0.01186247,0.01669394,-0.00483147
2024-05-21,3.17840119,1.51556082,2.09717825,-0.00034975,-0.00397291,0.00362316
2024-05-22,3.17688904,1.51749233,2.09351243,-0.00047576,0.00127445,-0.00175021
2024-05-23,3.13474482,1.49783430,2.09285154,-0.01326588,-0.01295429,-0.00031159
2024-05-24,3.09718099,1.48309334,2.08832506,-0.01198306,-0.00984151,-0.00214154
2024-05-27,3.07008149,1.47385405,2.08302952,-0.00874973,-0.00622974,-0.00251999
2024-05-28,3.09137054,1.48311866,2.08437169,0.00693436,0.00628597,0.00064839
2024-05-29,3.08384377,1.48335602,2.07896400,-0.00243477,0.00016004,-0.00259482
2024-05-30,3.08859512,1.47942527,2.08769931,0.00154072,-0.00264990,0.00419063
2024-05-31,3.11452586,1.48307860,2.10004100,0.00839564,0.00246942,0.00592622
2024-06-03,3.10346738,1.47252414,2.10758337,-0.00355061,-0.00711659,0.00356598
2024-06-04,3.09841635,1.47522680,2.10029831,-0.00162754,0.00183539,-0.00346294
2024-06-05,3.11898115,1.48259114,2.10373655,0.00663720,0.00499200,0.00164520
2024-06-06,3.08790158,1.47188107,2.09792872,-0.00996466,-0.00722388,-0.00274077
2024-06-07,3.06128715,1.45900053,2.09820838,-0.00861894,-0.00875107,0.00013214
2024-06-11,3.06183489,1.45317172,2.10700143,0.00017893,-0.00399507,0.00417400
2024-06-12,3.10522546,1.46500255,2.11960413,0.01417143,0.00814139,0.00603004
2024-06-13,3.10487568,1.46131314,2.12471619,-0.00011264,-0.00251837,0.00240573
2024-06-14,3.09178980,1.45749585,2.12130264,-0.00421462,-0.00261223,-0.00160240
2024-06-17,3.13104743,1.46561738,2.13633345,0.01269738,0.00557225,0.00712513
2024-06-18,3.15251124,1.47326617,2.13981106,0.00685515,0.00521882,0.00163634
2024-06-19,3.15329527,1.46934277,2.14605832,0.00024870,-0.00266306,0.00291176
2024-06-20,3.11828321,1.45328412,2.14568037,-0.01110332,-0.01092914,-0.00017419
2024-06-21,3.09346732,1.44228934,2.14483131,-0.00795819,-0.00756547,-0.00039272
2024-06-24,3.06091542,1.42733975,2.14448972,-0.01052279,-0.01036518,-0.00015761
2024-06-25,3.02355591,1.40999495,2.14437358,-0.01220534,-0.01215184,-0.00005350
2024-06-26,3.02223547,1.41234887,2.13986468,-0.00043672,0.00166946,-0.00210617
2024-06-27,3.03852945,1.41732173,2.14385300,0.00539137,0.00352098,0.00187038
2024-06-28,3.04152920,1.42103405,2.14036335,0.00098724,0.00261925,-0.00163201
2024-07-01,3.03753445,1.41774938,2.14250452,-0.00131340,-0.00231146,0.00099806
2024-07-02,3.03871781,1.42186441,2.13713614,0.00038958,0.00290251,-0.00251293
2024-07-03,3.01604458,1.41228579,2.13557666,-0.00746145,-0.00673666,-0.00072479
2024-07-04,2.99289749,1.40372477,2.13211134,-0.00767465,-0.00606182,-0.00161283
2024-07-05,2.95347703,1.38878726,2.12665907,-0.01317134,-0.01064133,-0.00253000
2024-07-08,2.96033429,1.38261572,2.14111141,0.00232176,-0.00444384,0.00676560
2024-07-09,2.98031869,1.38576164,2.15067196,0.00675073,0.00227534,0.00447539
2024-07-10,3.04418850,1.40563670,2.16570078,0.02143053,0.01434234,0.00708819
2024-07-11,3.09724669,1.42794894,2.16901781,0.01742934,0.01587340,0.00155593
2024-07-12,3.11873754,1.43033744,2.18042082,0.00693870,0.00167268,0.00526602
2024-07-15,3.11676132,1.42728134,2.18370495,-0.00063366,-0.00213663,0.00150298
2024-07-16,3.13192443,1.43417083,2.18378757,0.00486502,0.00482701,0.00003802
2024-07-17,3.14307270,1.44178052,2.17999387,0.00355956,0.00530599,-0.00174643
2024-07-18,3.10281777,1.42865310,2.17184827,-0.01280751,-0.00910501,-0.00370250
2024-07-19,3.13910649,1.44329898,2.17495234,0.01169541,0.01025153,0.00144388
2024-07-22,3.14480168,1.44393433,2.17793954,0.00181427,0.00044021,0.00137406
2024-07-23,3.10136219,1.42417189,2.17766003,-0.01381311,-0.01368653,-0.00012658
2024-07-24,3.02386906,1.39609168,2.16595306,-0.02498681,-0.01971686,-0.00526994
2024-07-25,2.97514694,1.38391364,2.14980679,-0.01611251,-0.00872295,-0.00738956
2024-07-26,2.99769072,1.39507076,2.14877324,0.00757737,0.00806200,-0.00048464
2024-07-29,3.00273609,1.39234212,2.15660795,0.00168308,-0.00195592,0.00363900
2024-07-30,2.98596909,1.38199216,2.16062665,-0.00558391,-0.00743349,0.00184958
2024-07-31,3.07099345,1.41605163,2.16870161,0.02847463,0.02464519,0.00382943
2024-08-01,3.08817107,1.42922951,2.16072439,0.00559351,0.00930608,-0.00371257
2024-08-02,3.04415935,1.41401471,2.15284844,-0.01425171,-0.01064546,-0.00360625
2024-08-05,2.98254818,1.39537196,2.13745744,-0.02023914,-0.01318427,-0.00705487
2024-08-06,2.94783754,1.38379307,2.13025893,-0.01163792,-0.00829807,-0.00333985
2024-08-07,2.95244158,1.38777386,2.12746591,0.00156184,0.00287672,-0.00131489
2024-08-08,2.97566416,1.38259936,2.15222446,0.00786555,-0.00372863,0.01159419
2024-08-09,3.01624770,1.38809703,2.17293721,0.01363848,0.00397634,0.00966215
2024-08-12,2.97296916,1.37274719,2.16570770,-0.01434847,-0.01105819,-0.00329028
2024-08-13,2.95562668,1.36945708,2.15824704,-0.00583339,-0.00239674,-0.00343665
2024-08-14,2.96603476,1.36797121,2.16819969,0.00352145,-0.00108500,0.00460645
2024-08-15,2.97398002,1.37390948,2.16461132,0.00267875,0.00434093,-0.00166218
2024-08-16,2.96402333,1.37441997,2.15656306,-0.00334794,0.00037155,-0.00371949
2024-08-19,2.95343123,1.37744988,2.14412972,-0.00357355,0.00220450,-0.00577806
2024-08-20,2.92001438,1.36086815,2.14569970,-0.01131458,-0.01203799,0.00072341
2024-08-21,2.90521313,1.35554504,2.14320664,-0.00506890,-0.00391156,-0.00115734
2024-08-22,2.87493465,1.34175482,2.14266765,-0.01042212,-0.01017319,-0.00024893
2024-08-23,2.85575264,1.33682772,2.13621590,-0.00667216,-0.00367213,-0.00300003
2024-08-26,2.87409288,1.34227479,2.14121051,0.00642221,0.00407462,0.00234759
2024-08-27,2.84782537,1.32855075,2.14355784,-0.00913941,-0.01022446,0.00108506
2024-08-28,2.83040187,1.32163532,2.14159067,-0.00611818,-0.00520525,-0.00091293
2024-08-29,2.87017635,1.33111149,2.15622536,0.01405259,0.00717004,0.00688255
2024-08-30,2.95889652,1.36154881,2.17318432,0.03091105,0.02286609,0.00804496
2024-09-02,2.92700792,1.34425781,2.17741559,-0.01077719,-0.01269950,0.00192231
2024-09-03,2.91608559,1.33962174,2.17679776,-0.00373157,-0.00344880,-0.00028277
2024-09-04,2.90613111,1.33484891,2.17712362,-0.00341365,-0.00356281,0.00014917
2024-09-05,2.90979548,1.33853460,2.17386647,0.00126091,0.00276112,-0.00150021
2024-09-06,2.89555339,1.33219078,2.17352757,-0.00489453,-0.00473937,-0.00015516
2024-09-09,2.84810348,1.31149622,2.17164444,-0.01638717,-0.01553423,-0.00085293
2024-09-10,2.81745715,1.30488484,2.15916153,-0.01076026,-0.00504110,-0.00571916
2024-09-11,2.84316589,1.31236898,2.16643790,0.00912480,0.00573548,0.00338933
2024-09-12,2.83799083,1.31466585,2.15871648,-0.00182017,0.00175017,-0.00357034
2024-09-13,2.80108173,1.30354837,2.14881304,-0.01300536,-0.00845650,-0.00454886
2024-09-18,2.77203568,1.29096398,2.14726028,-0.01036959,-0.00965395,-0.00071564
2024-09-19,2.82518401,1.31134995,2.15440890,0.01917303,0.01579128,0.00338175
2024-09-20,2.82312476,1.31192081,2.15190181,-0.00072889,0.00043532,-0.00116421
2024-09-23,2.85260499,1.32251267,2.15695854,0.01044241,0.00807355,0.00236886
2024-09-24,2.90980443,1.35090693,2.15396365,0.02005165,0.02146994,-0.00141829
2024-09-25,3.02337373,1.40639460,2.14973360,0.03902988,0.04107438,-0.00204451
2024-09-26,3.05057742,1.42057315,2.14742720,0.00899779,0.01008148,-0.00108369
2024-09-27,3.27088791,1.51183774,2.16351783,0.07221927,0.06424491,0.00797437
2024-09-30,3.60196905,1.64938039,2.18383162,0.10122057,0.09097713,0.01024345
2024-10-08,4.02929586,1.81898621,2.21513271,0.11863700,0.10283002,0.01580698
2024-10-09,3.91905569,1.74576816,2.24488898,-0.02735966,-0.04025212,0.01289246
2024-10-10,3.83026541,1.70544627,2.24590213,-0.02265604,-0.02309693,0.00044089
2024-10-11,3.65368832,1.64654239,2.21900654,-0.04610048,-0.03453869,-0.01156179
2024-10-14,3.67853943,1.64962875,2.22991957,0.00680165,0.00187445,0.00492720
2024-10-15,3.76457323,1.66381833,2.26261074,0.02338803,0.00860168,0.01478635
2024-10-16,3.70243578,1.62990198,2.27156960,-0.01650584,-0.02038465,0.00387881
