date,ric,year
2021-01-28,-0.1789262979253625,2021
2021-01-29,-0.2750888968997795,2021
2021-02-01,-0.37021877134248,2021
2021-02-02,-0.3656784109092045,2021
2021-02-03,-0.37108193228837305,2021
2021-02-04,-0.3672490412631208,2021
2021-02-05,-0.3176025251621044,2021
2021-02-08,-0.3230817714061738,2021
2021-02-09,-0.38538499530557807,2021
2021-02-10,-0.422043547920017,2021
2021-02-18,-0.36731576771611685,2021
2021-02-19,-0.3359120645664388,2021
2021-02-22,-0.4583608690708206,2021
2021-02-23,-0.4248856295784066,2021
2021-02-24,-0.3615101176729817,2021
2021-02-25,-0.33020268447341183,2021
2021-02-26,-0.48694871290726305,2021
2021-03-01,-0.5008930343322909,2021
2021-03-02,-0.40525718149079876,2021
2021-03-03,-0.20506775369089297,2021
2021-03-04,-0.24965245125502641,2021
2021-03-05,-0.0901245060741552,2021
2021-03-08,0.05018879285142786,2021
2021-03-09,-0.029598091745977634,2021
2021-03-10,0.008373921725602276,2021
2021-03-11,0.20653068487920845,2021
2021-03-12,0.396149321547296,2021
2021-03-15,0.4731640357369339,2021
2021-03-16,0.33805797156880696,2021
2021-03-17,0.3414102412445539,2021
2021-03-18,0.4913277170544262,2021
2021-03-19,0.5146366100591737,2021
2021-03-22,0.4560348698341679,2021
2021-03-23,0.4061028393520346,2021
2021-03-24,0.33954825091430707,2021
2021-03-25,0.120400907313659,2021
2021-03-26,0.11833373603936831,2021
2021-03-29,0.14366089701660173,2021
2021-03-30,0.17343878809851626,2021
2021-03-31,-0.01399172364765518,2021
2021-04-01,-0.012012470066161343,2021
2021-04-02,0.10523428842596728,2021
2021-04-20,-0.06351745277919775,2021
2021-04-21,-0.10136463492168192,2021
2021-04-22,-0.1579082132773408,2021
2021-04-23,-0.1727881023183037,2021
2021-04-26,-0.11033150294895261,2021
2021-04-27,-0.06991921757022429,2021
2021-04-28,-0.014858820251629884,2021
2021-04-29,0.04108425081579444,2021
2021-04-30,0.11964743564051443,2021
2021-05-06,0.12456440476829926,2021
2021-05-07,0.23271899110825287,2021
2021-05-10,0.24004923165996994,2021
2021-05-11,0.27110484493034837,2021
2021-05-12,0.3224724113985859,2021
2021-05-13,0.3430574041541645,2021
2021-05-14,0.3157220673999198,2021
2021-05-17,0.31414498696377896,2021
2021-05-18,0.307631456960316,2021
2021-05-19,0.24510843973931223,2021
2021-05-20,0.2699066061836648,2021
2021-05-21,0.30389327704763947,2021
2021-05-24,0.23735449909946554,2021
2021-05-25,0.22175363282745833,2021
2021-05-26,0.21296907035162074,2021
2021-05-27,0.17709518548444725,2021
2021-05-28,0.1534957776568515,2021
2021-05-31,0.0767126186589274,2021
2021-06-01,0.07592389288535448,2021
2021-06-02,0.14299122185028226,2021
2021-06-03,0.16522518917924928,2021
2021-06-04,0.07986586342291042,2021
2021-06-07,0.11332442876067038,2021
2021-06-08,0.07025771958657866,2021
2021-06-09,-0.04228252047043994,2021
2021-06-10,0.019161779228893325,2021
2021-06-11,0.023041271485175627,2021
2021-06-15,0.06066789791622007,2021
2021-06-16,0.1558144477607565,2021
2021-06-17,0.07347237726090677,2021
2021-06-18,-0.004231962770270615,2021
2021-06-21,-0.032452220371683466,2021
2021-06-22,-0.007106710126844356,2021
2021-06-23,0.0658805541355877,2021
2021-06-24,0.07150661241320064,2021
2021-06-25,0.1370296470967612,2021
2021-06-28,0.12572624485376163,2021
2021-06-29,0.14730975637015908,2021
2021-06-30,0.08677835859043914,2021
2021-07-01,0.13829412141253472,2021
2021-07-02,0.11457378457321618,2021
2021-07-19,-0.11949808258533091,2021
2021-07-20,-0.133251616473093,2021
2021-07-21,-0.13973216657780418,2021
2021-07-22,-0.10588059077991964,2021
2021-07-23,-0.05473976111560005,2021
2021-07-26,-0.027159862730332534,2021
2021-07-27,0.04163254163254164,2021
2021-07-28,-0.020863908447801068,2021
2021-07-29,0.13288105066628558,2021
2021-07-30,0.15125772508322846,2021
2021-08-02,-0.016761575486407703,2021
2021-08-03,-0.08766652558598868,2021
2021-08-04,-0.0698459289063316,2021
2021-08-05,-0.10576470308013934,2021
2021-08-06,-0.10260687777466301,2021
2021-08-09,-0.12068123645304854,2021
2021-08-10,-0.10926332067271667,2021
2021-08-11,-0.17094122798820788,2021
2021-08-12,-0.1836142121377021,2021
2021-08-13,-0.13216694424748118,2021
2021-08-16,-0.09327310837377951,2021
2021-08-17,-0.14045772435034182,2021
2021-08-18,-0.19203874405216692,2021
2021-08-19,-0.19586487036151468,2021
2021-08-20,-0.1227319448795959,2021
2021-08-23,-0.12363018906643068,2021
2021-08-24,-0.19896360668172752,2021
2021-08-25,-0.20539377083001248,2021
2021-08-26,-0.21525384444847537,2021
2021-08-27,-0.1665104702017454,2021
2021-08-30,-0.015239461548186383,2021
2021-08-31,0.014788736265246336,2021
2021-09-01,0.007379710399844629,2021
2021-09-02,0.09620602909193514,2021
2021-09-03,0.055324696264293594,2021
2021-09-06,-0.008315973081073753,2021
2021-09-07,0.11682350440739704,2021
2021-09-08,0.2555387907736901,2021
2021-09-09,0.23650755697735568,2021
2021-09-10,0.2183214330865338,2021
2021-09-13,0.22578771572060166,2021
2021-09-14,0.2507686148625746,2021
2021-09-15,0.26955112525582325,2021
2021-09-16,0.17126461421763436,2021
2021-09-17,0.15651206423018504,2021
2021-09-22,0.180812752960404,2021
2021-09-23,0.17690784133737153,2021
2021-09-24,0.048383343685357114,2021
2021-09-27,0.045292852339832206,2021
2021-09-28,0.09447000386597702,2021
2021-09-29,0.00978678495457019,2021
2021-09-30,0.11380767588821282,2021
2021-10-22,-0.07764659106940987,2021
2021-10-25,-0.03858098488970973,2021
2021-10-26,-0.03322724799234866,2021
2021-10-27,-0.043474377366994825,2021
2021-10-28,-0.07122604605826083,2021
2021-10-29,-0.0015450166456877866,2021
2021-11-01,-0.03935372223962828,2021
2021-11-02,-0.010788091325004079,2021
2021-11-03,-0.014949513271660924,2021
2021-11-04,-0.03715002372720494,2021
2021-11-05,0.05594535963663481,2021
2021-11-08,0.06985005139367556,2021
2021-11-09,0.13081385229036238,2021
2021-11-10,0.10857211696137871,2021
2021-11-11,0.1191898121428323,2021
2021-11-12,0.11650240844871719,2021
2021-11-15,0.13676489179844886,2021
2021-11-16,0.13904416924551155,2021
2021-11-17,0.10763448011770159,2021
2021-11-18,0.13123251378284936,2021
2021-11-19,0.07255302892886786,2021
2021-11-22,0.018234677630650786,2021
2021-11-23,0.0987179980468571,2021
2021-11-24,0.027709985763677038,2021
2021-11-25,-0.024700570002583425,2021
2021-11-26,0.014578031356554846,2021
2021-11-29,0.0952894627391272,2021
2021-11-30,0.04369607557527021,2021
2021-12-01,0.04930701552380076,2021
2021-12-02,-0.003904911623032429,2021
2021-12-03,0.05749999541945852,2021
2021-12-06,0.020317907901800523,2021
2021-12-07,-0.030927816162715494,2021
2021-12-08,0.047612438552035875,2021
2021-12-09,0.029946664174852096,2021
2021-12-10,0.07057835749110918,2021
2021-12-13,0.023921877948723587,2021
2021-12-14,0.04625155967437847,2021
2021-12-15,0.011680838862046915,2021
2021-12-16,0.08384910230547815,2021
2021-12-17,0.017472933580316135,2021
2021-12-20,-0.11591426692097834,2021
2021-12-21,-0.09649368709771396,2021
2021-12-22,-0.13723989395130337,2021
2021-12-23,-0.0911683495576113,2021
2021-12-24,-0.1209290437478357,2021
2021-12-27,-0.09116102069122205,2021
2021-12-28,-0.1069125867783586,2021
2021-12-29,-0.13923151339258721,2021
2021-12-30,-0.13513376097268717,2021
2021-12-31,-0.06381289770551515,2021
2022-01-18,-0.09781929580587301,2022
2022-01-19,-0.10207599301559035,2022
2022-01-20,-0.0977757806616867,2022
2022-01-21,-0.0963507742031232,2022
2022-01-24,-0.021010943829735777,2022
2022-01-25,-0.027325220278240414,2022
2022-01-26,-0.02428969543063503,2022
2022-01-27,-0.06711913255537418,2022
2022-01-28,-0.05940183624747384,2022
2022-02-07,0.10291469016301232,2022
2022-02-08,0.32232400185420323,2022
2022-02-09,0.3018164595345804,2022
2022-02-10,0.4082416766980526,2022
2022-02-11,0.3843601075144699,2022
2022-02-14,0.2587529567395339,2022
2022-02-15,0.19672647021640313,2022
2022-02-16,0.115458961096545,2022
2022-02-17,0.13109967807954387,2022
2022-02-18,0.023303962901278338,2022
2022-02-21,0.03679823814052002,2022
2022-02-22,-0.0656991646924533,2022
2022-02-23,0.004693680868177513,2022
2022-02-24,-0.081584482591194,2022
2022-02-25,-0.08114887309518183,2022
2022-02-28,-0.044228792550940206,2022
2022-03-01,0.017745017745017747,2022
2022-03-02,0.08393842286459738,2022
2022-03-03,0.09466971547508461,2022
2022-03-04,0.12816675736138824,2022
2022-03-07,0.025842957051010747,2022
2022-03-08,0.12472951902482106,2022
2022-03-09,-0.031215016114344973,2022
2022-03-10,-0.01142478659257183,2022
2022-03-11,-0.08314598918625764,2022
2022-03-14,-0.2075319675990817,2022
2022-03-15,-0.12212777145663054,2022
2022-03-16,-0.1565848948399284,2022
2022-03-17,-0.11829889682238677,2022
2022-03-18,-0.0920464393618756,2022
2022-03-21,-0.0951708267144509,2022
2022-03-22,-0.10695152138105159,2022
2022-03-23,-0.13251506540097147,2022
2022-03-24,-0.14403100476925984,2022
2022-03-25,-0.14947955887553202,2022
2022-03-28,-0.12490266349326755,2022
2022-03-29,-0.16146179736783764,2022
2022-03-30,-0.12908744620154017,2022
2022-03-31,-0.18771379677419947,2022
2022-04-01,-0.11236526337197479,2022
2022-04-20,0.06670506688164855,2022
2022-04-21,0.2728005926305281,2022
2022-04-22,0.35390573084208576,2022
2022-04-25,0.40637515257499446,2022
2022-04-26,0.4138480778499788,2022
2022-04-27,0.43397246017820196,2022
2022-04-28,0.40397568189965327,2022
2022-04-29,0.38014916082155126,2022
2022-05-05,0.34593352648715825,2022
2022-05-06,0.3213232271296459,2022
2022-05-09,0.31016750927645853,2022
2022-05-10,0.1476079665244838,2022
2022-05-11,0.11314740378886479,2022
2022-05-12,0.1461962267331395,2022
2022-05-13,0.1301879362035858,2022
2022-05-16,0.10700602982482178,2022
2022-05-17,0.06093884392387134,2022
2022-05-18,0.10630749724709457,2022
2022-05-19,0.23929481647602452,2022
2022-05-20,0.16240813724035202,2022
2022-05-23,0.13429918631260915,2022
2022-05-24,0.11281507254661619,2022
2022-05-25,0.12740638747350158,2022
2022-05-26,0.13169743874441864,2022
2022-05-27,0.04324947277967413,2022
2022-05-30,-0.017462402334244943,2022
2022-05-31,0.048665505041343975,2022
2022-06-01,0.0018878703926475096,2022
2022-06-02,-0.04421207863737149,2022
2022-06-06,-0.10521549615509349,2022
2022-06-07,-0.09683264716821766,2022
2022-06-08,-0.0799217460291286,2022
2022-06-09,0.005251132767911292,2022
2022-06-10,0.010359352641231835,2022
2022-06-13,0.0682633518203988,2022
2022-06-14,0.11990117023674073,2022
2022-06-15,0.05885720986392128,2022
2022-06-16,0.0729034403531048,2022
2022-06-17,-0.0008176266565528312,2022
2022-06-20,0.024363900202826378,2022
2022-06-21,0.022981034726001173,2022
2022-06-22,0.02704672335544819,2022
2022-06-23,-0.005342285543627826,2022
2022-06-24,-0.05601589997563153,2022
2022-06-27,-0.01836705527980696,2022
2022-06-28,-0.04252620527788313,2022
2022-06-29,0.07037040090731367,2022
2022-06-30,0.10912590442791786,2022
2022-07-01,0.0662337138847206,2022
2022-07-18,0.14114388946603715,2022
2022-07-19,0.1644061694397265,2022
2022-07-20,0.13237764915617264,2022
2022-07-21,0.11116287122998532,2022
2022-07-22,0.10606198022305408,2022
2022-07-25,0.07168593242418746,2022
2022-07-26,0.045320793642941296,2022
2022-07-27,0.06427873877538308,2022
2022-07-28,0.08490079463233827,2022
2022-07-29,0.06462502771227605,2022
2022-08-01,0.020267063891224967,2022
2022-08-02,-0.0076380529400663635,2022
2022-08-03,-0.07842528312326971,2022
2022-08-04,-0.0010260412944976705,2022
2022-08-05,-0.040692156463968544,2022
2022-08-08,-0.0296310648659642,2022
2022-08-09,-0.00569452918446207,2022
2022-08-10,0.055459364184196405,2022
2022-08-11,0.07164058506340387,2022
2022-08-12,0.10534100299200971,2022
2022-08-15,0.0775769668387118,2022
2022-08-16,0.09272940871729884,2022
2022-08-17,0.103218838118167,2022
2022-08-18,0.12154512657868365,2022
2022-08-19,0.1057876057876058,2022
2022-08-22,0.1189617011764663,2022
2022-08-23,0.09416264953177705,2022
2022-08-24,0.07920855571862283,2022
2022-08-25,0.06574359594493824,2022
2022-08-26,-0.0071090003975910025,2022
2022-08-29,-0.012918043119385403,2022
2022-08-30,0.006350920780450982,2022
2022-08-31,0.04494518924049126,2022
2022-09-01,0.09106162294081757,2022
2022-09-02,0.12135320189011466,2022
2022-09-05,0.07454556447845039,2022
2022-09-06,0.04920509282925391,2022
2022-09-07,0.07832405315626792,2022
2022-09-08,0.15556297603277472,2022
2022-09-09,0.21642234058341445,2022
2022-09-13,0.1840502796878636,2022
2022-09-14,0.22269905659167405,2022
2022-09-15,0.1309865387046595,2022
2022-09-16,0.13809141661490656,2022
2022-09-19,0.050482147797584045,2022
2022-09-20,0.1037236137907279,2022
2022-09-21,0.11837035326968215,2022
2022-09-22,0.10905811241381712,2022
2022-09-23,0.09386674655131033,2022
2022-09-26,0.04902003895292486,2022
2022-09-27,0.10703329630346896,2022
2022-09-28,0.12961878901476218,2022
2022-09-29,0.15287648844695828,2022
2022-09-30,0.14811318334808268,2022
2022-10-24,0.1379759869692756,2022
2022-10-25,0.20322625859538615,2022
2022-10-26,0.1662777786938861,2022
2022-10-27,0.14578260383629513,2022
2022-10-28,0.037318129600008805,2022
2022-10-31,0.11372110365398956,2022
2022-11-01,0.08828902117492723,2022
2022-11-02,0.06732754719331902,2022
2022-11-03,0.13986454422696037,2022
2022-11-04,0.13040251966426464,2022
2022-11-07,0.06411475538992319,2022
2022-11-08,0.01076610472583627,2022
2022-11-09,-0.04736417320309938,2022
2022-11-10,0.015456579214968479,2022
2022-11-11,0.0931086669341703,2022
2022-11-14,0.09435045173300206,2022
2022-11-15,0.06587780581069172,2022
2022-11-16,-0.0013801171519292326,2022
2022-11-17,-0.03946182301887,2022
2022-11-18,0.010286063977339147,2022
2022-11-21,0.01835972641341769,2022
2022-11-22,0.03514512071559052,2022
2022-11-23,0.004098210474049401,2022
2022-11-24,-0.05521705353920119,2022
2022-11-25,-0.05327215562114891,2022
2022-11-28,-0.010899856537440432,2022
2022-11-29,-0.017338723714562642,2022
2022-11-30,-0.036380492756331685,2022
2022-12-01,-0.09157922412955971,2022
2022-12-02,-0.10794275056020024,2022
2022-12-05,-0.052400020520825895,2022
2022-12-06,-0.07160806321880148,2022
2022-12-07,-0.08100321187569512,2022
2022-12-08,-0.04075674209902398,2022
2022-12-09,-0.05153521428689214,2022
2022-12-12,-0.06407582078723019,2022
2022-12-13,-0.05050276023430386,2022
2022-12-14,-0.08835498097243065,2022
2022-12-15,-0.05890896998279549,2022
2022-12-16,0.10811223059545208,2022
2022-12-19,0.09666820572860842,2022
2022-12-20,0.12453163963231079,2022
2022-12-21,0.08443083107512639,2022
2022-12-22,0.03982597606758681,2022
2022-12-23,-0.007729205715782898,2022
2022-12-26,0.04854778512496634,2022
2022-12-27,0.013516719892558822,2022
2022-12-28,-0.03117653956580131,2022
2022-12-29,-0.155531370296471,2022
2022-12-30,-0.19014157086080025,2022
2023-01-03,-0.16056563281161448,2023
2023-01-18,0.10923766964035422,2023
2023-01-19,0.06458793272237344,2023
2023-01-20,0.011273628723293155,2023
2023-01-30,0.0672977736736126,2023
2023-01-31,0.11504991874119393,2023
2023-02-01,0.13545348276891903,2023
2023-02-02,0.11762143473552872,2023
2023-02-03,0.12489350241028094,2023
2023-02-06,0.12925830039924002,2023
2023-02-07,0.103673685888451,2023
2023-02-08,0.15251416761483877,2023
2023-02-09,0.1339812967329746,2023
2023-02-10,0.19715704111677268,2023
2023-02-13,0.24433753460599103,2023
2023-02-14,0.27257886318289004,2023
2023-02-15,0.24909580110922397,2023
2023-02-16,0.2861816972555228,2023
2023-02-17,0.3525894717169885,2023
2023-02-20,0.3164361738187242,2023
2023-02-21,0.2360096521170347,2023
2023-02-22,0.23922931473267045,2023
2023-02-23,0.19319258245432744,2023
2023-02-24,0.11962496358469514,2023
2023-02-27,0.16325736963320858,2023
2023-02-28,0.145757410858082,2023
2023-03-01,0.10694739889370763,2023
2023-03-02,0.17749415064851307,2023
2023-03-03,0.15566878654126978,2023
2023-03-06,0.03465820915485345,2023
2023-03-07,0.036929699681377534,2023
2023-03-08,0.004757350394934288,2023
2023-03-09,-0.03297486015606821,2023
2023-03-10,-0.05261759624175732,2023
2023-03-13,-0.019140250683874847,2023
2023-03-14,0.017793113430697328,2023
2023-03-15,-0.029344781022633378,2023
2023-03-16,-0.0487534514380152,2023
2023-03-17,-0.04419169016484453,2023
2023-03-20,-0.013164476251724577,2023
2023-03-21,-0.016451930881461085,2023
2023-03-22,-0.002067198375923208,2023
2023-03-23,0.06597995188599216,2023
2023-03-24,0.10823773743236831,2023
2023-03-27,0.0330715095815767,2023
2023-03-28,0.05115548739709814,2023
2023-03-29,0.05275088999921215,2023
2023-03-30,0.07028703505213574,2023
2023-03-31,0.029330123289854834,2023
2023-04-03,0.06684384201162726,2023
2023-04-19,-0.03836157695218098,2023
2023-04-20,-0.07791409469261819,2023
2023-04-21,-0.0638884766401545,2023
2023-04-24,-0.035466674728419696,2023
2023-04-25,-0.010996505962948917,2023
2023-04-26,-0.023870117829849376,2023
2023-04-27,0.07435867838552404,2023
2023-04-28,0.032603378240962134,2023
2023-05-04,0.12536346596749282,2023
2023-05-05,0.18519770533193355,2023
2023-05-08,0.25892152066648716,2023
2023-05-09,0.26019628536407063,2023
2023-05-10,0.28218425869432584,2023
2023-05-11,0.29115250088404454,2023
2023-05-12,0.16977502212401543,2023
2023-05-15,0.157466191023238,2023
2023-05-16,0.1417494370514505,2023
2023-05-17,0.15898097609507006,2023
2023-05-18,0.1445962435895322,2023
2023-05-19,0.08952485126981773,2023
2023-05-22,0.025348490499555225,2023
2023-05-23,-0.025101825437395912,2023
2023-05-24,-0.05531416101885901,2023
2023-05-25,-0.03584365329331773,2023
2023-05-26,0.013987599558069358,2023
2023-05-29,0.07537281027213914,2023
2023-05-30,0.08441846361309449,2023
2023-05-31,0.0589808844842402,2023
2023-06-01,0.02633582331568909,2023
2023-06-02,0.024795387211494595,2023
2023-06-05,0.06634181466396231,2023
2023-06-06,0.03464721585526955,2023
2023-06-07,0.08507760353397938,2023
2023-06-08,0.04510184375956188,2023
2023-06-09,0.015438257048995305,2023
2023-06-12,-0.056781308459160816,2023
2023-06-13,-0.04190783217628856,2023
2023-06-14,-0.02281292885319731,2023
2023-06-15,0.05277837324817192,2023
2023-06-16,0.044240701958822765,2023
2023-06-19,0.02566660620351896,2023
2023-06-20,0.031764223039390825,2023
2023-06-21,0.10792122201518176,2023
2023-06-26,0.11995522062636158,2023
2023-06-27,0.1470243886351269,2023
2023-06-28,0.14420918783334893,2023
2023-06-29,0.11255947833129043,2023
2023-06-30,0.04817080656006831,2023
2023-07-03,-0.009888931029870629,2023
2023-07-18,-0.00741223224444701,2023
2023-07-19,0.06819235342725276,2023
2023-07-20,0.04315602973321094,2023
2023-07-21,0.00832513416406034,2023
2023-07-24,-0.013229061886780009,2023
2023-07-25,0.05320298944460019,2023
2023-07-26,0.05190715425614755,2023
2023-07-27,0.10111636957274542,2023
2023-07-28,0.20176598196732426,2023
2023-07-31,0.19313211930661597,2023
2023-08-01,0.09498348256737521,2023
2023-08-02,0.11884489736838733,2023
2023-08-03,0.08749154890094489,2023
2023-08-04,0.03500358198344775,2023
2023-08-07,0.09419242305148347,2023
2023-08-08,0.128578089987486,2023
2023-08-09,0.07034200155005525,2023
2023-08-10,0.016725389208610688,2023
2023-08-11,-0.09455611804605094,2023
2023-08-14,0.007355891584079503,2023
2023-08-15,0.16253089575237228,2023
2023-08-16,0.2790580391251532,2023
2023-08-17,0.22988775841124837,2023
2023-08-18,0.1614375204979232,2023
2023-08-21,0.09398400841353863,2023
2023-08-22,0.08824321575999429,2023
2023-08-23,0.11576494126829698,2023
2023-08-24,0.12439193311676534,2023
2023-08-25,0.1780818341221026,2023
2023-08-28,0.17007871202502076,2023
2023-08-29,0.0825546412794735,2023
2023-08-30,0.0062107562107562115,2023
2023-08-31,0.04951244716345388,2023
2023-09-01,-0.0073384855264049895,2023
2023-09-04,-0.057380901340632895,2023
2023-09-05,-0.03515290763612911,2023
2023-09-06,0.0003412503412503413,2023
2023-09-07,0.029372954716418265,2023
2023-09-08,0.050411607458587325,2023
2023-09-11,0.0718224325606876,2023
2023-09-12,0.071548974233538,2023
2023-09-13,0.061777305065895675,2023
2023-09-14,0.12961191820252224,2023
2023-09-15,0.11118119339595851,2023
2023-09-18,0.1116763499313835,2023
2023-09-19,0.11238083721305199,2023
2023-09-20,0.06103296707323553,2023
2023-09-21,0.11280407924703229,2023
2023-09-22,0.04228710101193323,2023
2023-09-25,-0.024742710984321726,2023
2023-09-26,-0.029560066472818156,2023
2023-09-27,-0.019368361650240844,2023
2023-09-28,0.03255070201378926,2023
2023-10-23,0.14136146518696854,2023
2023-10-24,0.20286877056305647,2023
2023-10-25,0.13234421120327164,2023
2023-10-26,0.14558106001059024,2023
2023-10-27,0.10674631312215206,2023
2023-10-30,0.06939703583998887,2023
2023-10-31,0.07035391095793782,2023
2023-11-01,0.031138979125556313,2023
2023-11-02,0.08144157902276708,2023
2023-11-03,0.18469201355107398,2023
2023-11-06,0.20416068906001797,2023
2023-11-07,0.10010223768613032,2023
2023-11-08,0.1309221970890435,2023
2023-11-09,0.15418972969308542,2023
2023-11-10,0.1290095769961542,2023
2023-11-13,0.11912156207458223,2023
2023-11-14,0.10413219809192965,2023
2023-11-15,0.04528552347344294,2023
2023-11-16,0.058437174208986295,2023
2023-11-17,0.16554305983836187,2023
2023-11-20,0.09026552482928323,2023
2023-11-21,0.004956603949892541,2023
2023-11-22,0.01897901562331093,2023
2023-11-23,-0.03210684754308916,2023
2023-11-24,0.037779848182532744,2023
2023-11-27,-0.0018546612506344052,2023
2023-11-28,-0.02568767669438811,2023
2023-11-29,-0.040205244903231484,2023
2023-11-30,-0.028314159186642412,2023
2023-12-01,0.03450247074408149,2023
2023-12-04,-0.022886217517090003,2023
2023-12-05,-0.020701299224789162,2023
2023-12-06,-0.06875484392262916,2023
2023-12-07,-0.002371346331077875,2023
2023-12-08,-0.018255290067370606,2023
2023-12-11,0.013650013650013651,2023
2023-12-12,0.015446502023683232,2023
