canonical,surface,has_evidence
cdl_hammer,daily,True
cdl_hanging_man,daily,True
cdl_harami,daily,True
cdl_harami_cross,daily,True
cdl_inside_bar,daily,True
cdl_inverted_hammer,daily,True
cdl_marubozu,daily,True
cdl_morning_star,daily,True
cdl_outside_bar,daily,True
cdl_piercing,daily,True
cdl_shooting_star,daily,True
cdl_spinning_top,daily,True
cdl_three_black_crows,daily,True
cdl_three_white_soldiers,daily,True
cdl_tweezer_bottom,daily,True
cdl_tweezer_top,daily,True
ceil,daily,True
choppiness_index,daily,True
circulating_cap_unlock_proxy,daily,False
clip,daily,True
coalesce,daily,True
composition_aitchison_distance,daily,True
composition_clr_component,daily,True
composition_entropy,daily,True
composition_ilr_balance,daily,True
composition_js_divergence,daily,True
constant,internal,False
corwin_schultz_spread,daily,True
cos,daily,True
cos_phase,extended,True
cosh,unsafe,False
coskewness_to_market,daily,True
cot,unsafe,False
cross_event,daily,True
cs_actual_lof_score,daily,True
cs_bucket,daily,True
cs_bucket_fixed,daily,True
cs_bucket_historical,daily,True
cs_clip,extended,False
cs_count,daily,True
cs_coverage_ratio,daily,True
cs_demean,daily,True
cs_fill_mean,daily,True
cs_fill_median,daily,True
cs_hartigan_dip,daily,True
cs_huber_resid,daily,True
cs_impute_mean,daily,True
cs_impute_median,daily,True
cs_iqr,extended,False
cs_isolation,daily,True
cs_isotonic_residual,daily,True
cs_knn_distance,daily,True
cs_knn_graph_dirichlet_energy,daily,True
cs_knn_local_moran,daily,True
cs_knn_neighbor_retention,daily,True
cs_knn_peer_mean_ex_self,daily,True
cs_lad_resid,daily,True
cs_local_curvature,daily,True
cs_local_density,daily,True
cs_local_density_score,daily,True
cs_mad,daily,True
cs_mad_zscore,daily,True
cs_mahalanobis_distance,daily,True
cs_mean,daily,True
cs_median,extended,False
cs_multi_resid,daily,True
cs_neighbor_gap,daily,True
cs_neutralize,daily,True
cs_normalize,extended,False
cs_outlier_score,extended,False
cs_pct_rank,daily,True
cs_quantile,daily,True
cs_quantile_resid,daily,True
cs_rank_churn,daily,True
cs_rank_gaussian,daily,True
cs_regression,daily,True
cs_relative_density_ratio,daily,True
cs_resid,daily,True
cs_residual_percentile,daily,True
cs_ridge_resid,daily,True
cs_robust_mahalanobis_mad,daily,True
cs_robust_scale,extended,False
cs_shrinkage_mahalanobis,daily,True
cs_spline_resid,daily,True
cs_std,daily,True
cs_sum,daily,True
cs_tail_retention,daily,True
cs_trim_mean,extended,False
cs_valid_count,daily,True
cs_weighted_demean,daily,True
cs_weighted_mean,daily,True
cs_weighted_percentile_rank,daily,True
cs_weighted_zscore,daily,True
cs_wls_resid,daily,True
csc,unsafe,False
cube,legacy,False
date_diff_days,daily,True
digital_count,daily,True
directional_change_extent,daily,True
directional_change_state,daily,True
divide,daily,True
dollar_volume,daily,True
dollar_volume_zscore,daily,True
donchian_lower,daily,True
donchian_mid,daily,True
donchian_position,daily,True
donchian_upper,daily,True
down_volume_ratio,daily,True
earnings_yield,daily,True
efficiency_ratio,daily,True
eq,daily,True
event_abnormal_return_past,daily,True
event_active_count,daily,True
event_allan_factor,daily,True
event_arithmetic_return_sum,daily,True
event_cluster_count,daily,True
event_cluster_mean_size,daily,True
event_cumulative_return_past,daily,True
event_decay_asof,daily,True
event_fano_factor,daily,True
event_frequency,daily,True
event_historical_response_mean,daily,True
event_historical_response_sign_balance,daily,True
event_interval_memory,daily,True
event_level_survival_share,daily,True
event_local_variation,daily,True
event_log_return_sum,daily,True
event_refractory,daily,True
event_response_decay_rate,daily,True
event_response_dispersion,daily,True
event_response_peak_lag,daily,True
event_response_reversal_strength,daily,True
event_return_since_last,daily,True
exp,daily,True
exp_neg,daily,True
expanding_rank,daily,True
ffill_limit,daily,True
fillna_const,daily,True
fin_accrual_ratio,daily,True
fin_acquisition_cash_intensity,daily,True
fin_actual_expectation_divergence,daily,True
fin_announcement_lag,daily,True
fin_applicability_mask,daily,True
fin_average_balance,daily,True
fin_beat_streak,daily,True
fin_borrowing_intensity,daily,True
fin_cagr,daily,True
fin_capex_growth,daily,True
fin_capex_intensity,daily,True
fin_cash_burn_runway,daily,True
fin_cash_conversion,daily,True
fin_cash_earnings_gap,daily,True
fin_cash_sales_divergence,daily,True
fin_cashflow_persistence,daily,True
fin_common_size,daily,True
fin_component_score,daily,True
fin_comprehensive_income_gap,daily,True
fin_contract_asset_growth,daily,True
fin_contract_asset_intensity,daily,True
fin_contract_asset_liability_gap,daily,True
fin_contract_liability_growth,daily,True
fin_contract_liability_intensity,daily,True
fin_core_earnings_ratio,daily,True
fin_cv,daily,True
fin_days_since_expectation_revision,daily,True
fin_days_since_update,daily,True
fin_debt_repayment_intensity,daily,True
fin_debt_service_coverage_proxy,daily,True
fin_deferred_tax_gap,daily,True
fin_delta_noa,daily,True
fin_diff,daily,True
fin_discontinued_operation_ratio,daily,True
fin_divergence,daily,True
fin_earnings_cash_gap_volatility,daily,True
fin_earnings_persistence,daily,True
fin_earnings_smoothness,daily,True
fin_equity_capital_growth,daily,True
fin_expectation_dispersion,daily,True
fin_expectation_revision,daily,True
fin_expectation_revision_count,daily,True
fin_expectation_revision_magnitude,daily,True
fin_expectation_revision_pct,daily,True
fin_expectation_revision_speed,daily,True
fin_expense_sales_divergence,daily,True
fin_fair_value_income_dependence,daily,True
fin_financing_gap,daily,True
fin_fundamental_strength_score,daily,True
fin_goodwill_intensity,daily,True
fin_goodwill_risk_score,daily,True
fin_growth,daily,True
fin_growth_acceleration,daily,True
fin_growth_change,daily,True
fin_growth_persistence,daily,True
fin_growth_stability,daily,True
fin_growth_volatility,daily,True
fin_impairment_intensity,daily,True
fin_interest_coverage_proxy,daily,True
fin_inventory_sales_divergence,daily,True
fin_investment_income_dependence,daily,True
fin_lag,daily,True
fin_lease_asset_liability_gap,daily,True
fin_lease_intensity,daily,True
fin_log_change,daily,True
fin_margin_persistence,daily,True
fin_mean_abs_deviation,extended,True
fin_minority_profit_share,daily,True
fin_miss_streak,daily,True
fin_monotonicity,daily,True
fin_negative_streak,daily,True
fin_net_borrowing_cashflow,daily,True
fin_net_debt_issuance,daily,True
fin_noncore_income_ratio,daily,True
fin_oci_to_equity,daily,True
fin_other_earnings_dependence,daily,True
fin_pct_change,daily,True
fin_percentile_history,daily,True
fin_positive_streak,daily,True
fin_qoq,daily,True
fin_quarter_from_cumulative,daily,True
fin_range,daily,True
fin_ratio,daily,True
fin_rd_capitalization_ratio,daily,True
fin_rd_total_intensity,daily,True
fin_receivable_sales_divergence,daily,True
fin_restated_flag,daily,True
fin_revision_count,daily,True
fin_revision_delta,daily,True
fin_revision_direction,daily,True
fin_revision_magnitude,daily,True
fin_revision_pct,daily,True
fin_roe_cash_gap,daily,True
fin_seasonal_percentile,daily,True
fin_seasonal_zscore,daily,True
fin_sign_change_count,daily,True
fin_stability,daily,True
fin_staleness,daily,True
fin_std,daily,True
fin_surprise,daily,True
fin_surprise_event_percentile,daily,True
fin_surprise_event_zscore,daily,True
fin_surprise_zscore,daily,True
fin_total_operating_accruals,daily,True
fin_trend_acceleration,daily,True
fin_trend_r2,daily,True
fin_trend_slope,daily,True
fin_trend_tstat,daily,True
fin_ttm,extended,False
fin_ttm_cumulative,daily,True
fin_ttm_quarterly,daily,True
fin_turnover,daily,True
fin_working_capital_accruals,daily,True
fin_working_capital_change,daily,True
fin_yoy,daily,True
fin_zscore_history,daily,True
fiscal_accrual_quality,daily,True
fiscal_ar_resid_std,daily,True
fiscal_asymmetric_elasticity,daily,True
fiscal_asymmetric_timeliness,extended,False
fiscal_autocorr,daily,True
fiscal_change_direction_agreement,daily,True
fiscal_direction_consistency,daily,True
fiscal_pair_direction_agreement,daily,True
fiscal_perpetual_inventory,daily,True
fiscal_regression_resid_std,daily,True
fiscal_reversal_ratio,daily,True
fiscal_sign_agreement,daily,True
fiscal_sign_consistency,daily,True
fiscal_standardized_surprise,daily,True
fiscal_true_streak,daily,True
fix,daily,True
flex_max,daily,True
flex_min,daily,True
float_share_ratio,daily,True
floor,daily,True
free_float_ratio,daily,True
free_float_share_ratio,daily,True
free_float_turnover,daily,True
free_to_circulating_ratio,daily,True
fundamental_staleness,daily,True
garman_klass_vol,daily,True
ge,daily,True
group_corr_mst_length,daily,True
group_count,daily,True
group_current_members_tail_coexceedance,daily,True
group_decay_linear,daily,True
group_distribution_js_divergence,daily,True
group_ex_self_mad,daily,True
group_ex_self_mean,daily,True
group_ex_self_quantile,daily,True
group_ex_self_std,daily,True
group_ex_self_weighted_mean,daily,True
group_feature_effective_rank,daily,True
group_feature_mode_localization,daily,True
group_feature_mode_share,daily,True
group_feature_second_mode_localization,daily,True
group_feature_spectral_gap,daily,True
group_impute_median,daily,True
group_kurtosis,daily,True
group_leader_laggard_exposure,daily,True
group_max,daily,True
group_mean,daily,True
group_min,daily,True
group_multi_level_rank_consistency,daily,True
group_multi_resid,extended,False
group_neutralize,daily,True
group_normalize,daily,True
group_peer_beta_deviation,daily,True
group_peer_deviation_index,daily,True
group_peer_information_diffusion,daily,True
group_percentile,daily,True
group_quantile_spread,daily,True
group_rank,daily,True
group_rank_weighted_value,daily,True
group_return_dispersion_exposure,daily,True
group_skewness,daily,True
group_std,daily,True
group_sum,daily,True
group_tail_ratio,daily,True
group_topk_mean,daily,True
group_ts_decay_linear,daily,True
group_valid_count,daily,True
group_weighted_mean,daily,True
group_weighted_zscore,daily,True
group_winsorize,daily,True
group_zscore,daily,True
gt,daily,True
hierarchical_group_neutralize,daily,True
high_low_spread_proxy,daily,True
holder_class_entropy,daily,True
holder_common_holding_peer_return,daily,True
holder_concentration,daily,True
holder_concentration_acceleration,daily,True
holder_concentration_change,research,False
holder_concentration_slope,daily,True
holder_count_change_rate,research,False
holder_entry_share,daily,True
holder_exit_share,daily,True
holder_float_concentration_gap,daily,True
holder_freeze_concentration,daily,True
holder_freeze_ratio,daily,True
holder_id_matched_churn,daily,True
holder_id_matched_entry_share,daily,True
holder_id_matched_exit_share,daily,True
holder_id_overlap_ratio,daily,True
holder_locked_share_ratio,daily,True
holder_nature_entropy,daily,True
holder_net_entry_share,daily,True
holder_peer_return_breadth,daily,True
holder_pledge_change,daily,True
holder_pledge_churn,daily,False
holder_pledge_concentration,daily,True
holder_pledge_ratio,daily,True
holder_pledged_holder_count,daily,True
holder_rank_stability,daily,True
holder_share_weighted_rank_migration,daily,True
holder_shareholder_network_centrality,daily,True
holder_shareholder_overlap_ratio,daily,True
holder_weighted_churn,daily,True
hump_decay,daily,True
ichimoku_cloud_position,daily,True
ichimoku_cloud_width,daily,True
ichimoku_kijun,daily,True
ichimoku_senkou_a,daily,True
ichimoku_senkou_b,daily,True
ichimoku_tenkan,daily,True
identity,internal,False
idio_skew,daily,True
idio_vol,daily,True
index_entry_exit_event,daily,True
index_event_decay,daily,True
index_member,daily,True
index_membership_age,daily,True
index_reconstitution_churn,daily,True
index_weight,daily,True
index_weight_change,daily,True
index_weight_gap_to_free_float,daily,True
industry_size_neutralize,daily,True
intra_abs_return_profile_cosine,daily,True
intra_amihud,daily,True
intra_amount_profile_cosine,daily,True
intra_amount_profile_jsd,daily,True
intra_bar_range_deviation,daily,True
intra_bar_range_persistence,daily,True
intra_beta_asymmetry,daily,True
intra_bipower_variation,daily,True
intra_close_participation,daily,True
intra_concentration,daily,True
intra_continuous_variance,daily,True
intra_down_down_semibeta,daily,True
intra_down_up_semibeta,daily,True
intra_drawdown_depth,daily,True
intra_drawdown_duration,daily,True
intra_drawdown_recovery_half_life,daily,True
intra_entropy,daily,True
intra_extreme_bar_return,daily,True
intra_high_low_affinity,daily,True
intra_high_time,daily,True
intra_idiosyncratic_kurtosis,daily,True
intra_idiosyncratic_kurtosis_ex_self,daily,True
intra_idiosyncratic_skewness,daily,True
intra_idiosyncratic_skewness_ex_self,daily,True
intra_idiosyncratic_variance,daily,False
intra_idiosyncratic_variance_ex_self,daily,True
intra_industry_lead_lag_ex_self,daily,True
intra_interval_amount_share,daily,True
intra_interval_illiquidity,daily,True
intra_interval_realized_variance,daily,True
intra_interval_return,daily,True
intra_interval_volume_share,daily,True
intra_interval_vwap_deviation,daily,True
intra_jump_clustering,daily,True
intra_jump_concentration,daily,True
intra_jump_count,daily,True
intra_jump_first_time,daily,True
intra_jump_last_time,daily,True
intra_jump_ratio,daily,True
intra_jump_variation,daily,True
intra_kyle_lambda_proxy,daily,True
intra_limit_duration,daily,True
intra_limit_first_hit_time,daily,True
intra_limit_reopen_count,daily,True
intra_longest_above_vwap_streak,daily,True
intra_longest_below_vwap_streak,daily,True
intra_low_time,daily,True
intra_lunch_gap_return,daily,True
intra_market_lead_lag_ex_self,daily,True
intra_market_model_r2,daily,True
intra_market_model_r2_ex_self,daily,True
intra_max_drawdown,daily,True
intra_max_drawup,daily,True
intra_negative_jump_variation,daily,False
intra_negative_tail_variation,daily,True
intra_path_efficiency,daily,True
intra_positive_jump_variation,daily,False
intra_positive_tail_variation,daily,True
intra_price_vwap_max_negative_excursion,daily,True
intra_price_vwap_max_positive_excursion,daily,True
intra_profile_earth_mover_distance,daily,True
intra_realized_beta,daily,False
intra_realized_beta_ex_self,daily,True
intra_realized_correlation,daily,False
intra_realized_correlation_ex_self,daily,True
intra_realized_kurtosis,daily,True
intra_realized_quarticity,daily,True
intra_realized_semivariance,daily,True
intra_realized_skewness,daily,True
intra_realized_variance,daily,True
intra_return_activity_corr,daily,True
intra_return_profile_cosine,daily,False
intra_same_slot_momentum,daily,True
intra_same_slot_reversal,daily,True
intra_segment_amount_share,daily,True
intra_segment_realized_vol,daily,True
intra_segment_return,daily,True
intra_segment_volume_share,daily,True
intra_segment_vwap_deviation,daily,True
intra_session_return_asymmetry,daily,True
intra_signed_imbalance_proxy,daily,True
intra_signed_jump_ratio,daily,False
intra_signed_return_profile_cosine,daily,True
intra_signed_tail_variation_ratio,daily,True
intra_slot_amount_surprise,daily,True
intra_slot_volatility_surprise,daily,True
intra_slot_volume_surprise,daily,True
intra_tail_event_count,daily,True
intra_tail_volume_share,daily,True
intra_time_above_vwap,daily,True
intra_tripower_quarticity,daily,True
intra_up_down_semibeta,daily,True
intra_up_up_semibeta,daily,True
intra_ute_high,daily,True
intra_ute_low,daily,True
intra_volume_price_alignment,daily,True
intra_volume_profile_cosine,daily,True
intra_volume_profile_jsd,daily,True
intra_vwap_above_ratio,daily,True
intra_vwap_cross_count,daily,True
intra_vwap_path_curvature,daily,True
intra_vwap_path_curvature_pct,daily,True
intra_vwap_path_slope,daily,True
intra_vwap_path_slope_pct,daily,True
intra_vwap_reversion_speed,daily,True
intraday_activity_duration_curvature,daily,True
intraday_bvc_imbalance,daily,True
intraday_impact_asymmetry,daily,True
intraday_impact_beta,daily,True
intraday_jump_test_stat,daily,True
intraday_medrv,daily,True
intraday_minrv,daily,True
intraday_profile_pca_residual,daily,True
intraday_realized_semivariance_balance,daily,True
intraday_return_wasserstein_shift,daily,True
intraday_rv_signature_curvature,daily,True
intraday_rv_signature_slope,daily,True
intraday_session_shape_novelty,daily,True
intraday_volatility,daily,True
intraday_volatility_concentration,daily,True
intraday_volatility_entropy,daily,True
intraday_volatility_time_centroid,daily,True
intraday_volume_clock_path_efficiency,daily,True
intraday_volume_clock_roughness,daily,True
intraday_vwap_deviation,extended,True
inverse,daily,True
is_finite,daily,True
is_infinite,daily,True
is_nan,daily,True
is_not_null,daily,True
is_null,daily,True
le,daily,True
lerp,daily,True
limit_down_close,daily,True
limit_up_close,daily,True
listing_age,daily,True
log,daily,True
log10,daily,True
log2,daily,True
log_abs,daily,True
log_positive_or_nan,daily,True
lqtp_historical_cvar,daily,True
lt,daily,True
market_cap_free_cap_gap,daily,True
maximum,daily,True
minimum,daily,True
multi_index_entry_intensity,daily,True
multiply,daily,True
ne,daily,True
neg,daily,True
nonfinite_to_num,research,False
normalize,daily,True
not_,daily,True
open_close_return,daily,True
open_to_vwap_return,daily,True
or_,daily,True
overnight_return,daily,True
overnight_volatility,daily,True
parkinson_vol,daily,True
pattern_123_bear,daily,True
pattern_123_bull,daily,True
pattern_ascending_triangle,daily,True
pattern_bear_flag,daily,True
pattern_bear_pennant,daily,True
pattern_breakdown_retest,daily,True
pattern_breakout_retest,daily,True
pattern_broadening,daily,True
pattern_bull_flag,daily,True
pattern_bull_pennant,daily,True
pattern_cup,daily,True
pattern_cup_handle,daily,True
pattern_descending_triangle,daily,True
pattern_double_bottom,daily,True
pattern_double_top,daily,True
pattern_falling_channel,daily,True
pattern_falling_wedge,daily,True
pattern_head_shoulders,daily,True
pattern_inverse_head_shoulders,daily,True
pattern_rectangle,daily,True
pattern_rising_channel,daily,True
pattern_rising_wedge,daily,True
pattern_rounding_bottom,daily,True
pattern_rounding_top,daily,True
pattern_sym_triangle,daily,True
pattern_triple_bottom,daily,True
pattern_triple_top,daily,True
period_average,daily,False
period_cagr,daily,False
period_change,daily,False
period_lag,daily,True
period_stability,daily,True
piotroski_f_score,daily,True
power,daily,True
price_impact,daily,True
price_spread_deviation,daily,True
price_turnover_divergence,daily,True
price_volume_divergence,daily,True
protected_div,internal,False
quarter_from_cumulative,daily,False
range_volatility,daily,True
rank,daily,True
rank_corr,daily,True
real_turnover_rate,daily,True
relation_category_share,daily,True
relation_concentration_acceleration,daily,True
relation_distinct_count,extended,True
relation_distribution_pearson_kurtosis,daily,True
relation_distribution_skew,daily,True
relation_entropy,daily,True
relation_entropy_change,daily,True
relation_entry_count,daily,True
relation_exit_count,daily,True
relation_hhi,daily,True
relation_hhi_change,daily,True
relation_jaccard,extended,False
relation_overlap_ratio,extended,True
relation_peer_weighted_mean_ex_self,daily,True
relation_rank_mobility,daily,True
relation_rank_weighted_sum,daily,True
relation_share_mobility,daily,True
relation_topk_concentration,daily,True
relation_topk_sum,daily,True
relation_weighted_change,daily,True
relation_weighted_std_ex_self,daily,True
relative_volume,daily,True
report_change_breadth,daily,True
report_change_coherence,daily,True
report_filing_delay_surprise,daily,True
report_rolling_mean,daily,True
report_yoy_lag,daily,True
residual_momentum_capm,daily,True
return_per_turnover,daily,True
return_turnover_beta,daily,True
return_volume_beta,daily,True
return_volume_corr,daily,True
revision_delta,daily,True
rogers_satchell_vol,daily,True
roll_spread_proxy,daily,True
rolling_adl_flow,daily,True
rolling_beta_to_market,extended,True
rolling_obv,daily,True
rolling_pvt,daily,True
rolling_vwap,daily,True
round,daily,True
row_sum_skipna,daily,True
safe_div_null,daily,True
saturate,daily,True
scale,daily,True
sec,unsafe,False
session_event_recovery_score,daily,True
sigmoid,daily,True
sign,daily,True
signed_dollar_volume,daily,True
signed_log,daily,True
signed_power,daily,True
signed_sqrt,daily,True
signed_volume,daily,True
signed_volume_imbalance,daily,True
sin,daily,True
sin_phase,extended,True
sinh,unsafe,False
size_neutralize,daily,True
sqrt,daily,True
sqrt_abs,daily,True
square,daily,True
state_adaptive_deadband,extended,False
state_adaptive_slew_limit,extended,False
state_confidence_weighted_ema,extended,False
state_cost_aware_deadband,extended,False
state_cost_aware_slew,extended,False
state_deadband,daily,True
state_episode_efficiency,daily,True
state_episode_excursion_balance,daily,True
state_episode_mae,daily,True
state_episode_mfe,daily,True
state_episode_retrace_ratio,daily,True
state_ewm_if,daily,True
state_hold,daily,True
state_l1_turnover_prox,extended,False
state_l2_partial_adjustment,extended,False
state_latch,daily,True
state_quantile_hysteresis,extended,False
state_rank_deadband,extended,False
state_since_trend_tstat,daily,True
state_slew_limit,daily,True
state_uncertainty_deadband,extended,False
subtract,daily,True
suspension_frequency,daily,True
suspension_status_coverage,daily,True
tail_beta,daily,True
tan,unsafe,False
tanh,daily,True
tradable_state,daily,True
trade_when,daily,True
trading_day_diff,extended,False
true_range,daily,True
true_turnover_rate,daily,True
truncate,daily,True
ts_abdi_ranaldo_spread,daily,True
ts_abs_concentration,daily,True
ts_abs_entropy,daily,True
ts_abs_entropy_nats,extended,True
ts_abs_entropy_normalized,extended,True
ts_activity_clock_age,daily,True
ts_activity_clock_lagged_value,daily,True
ts_adaptive_noise_kalman,extended,False
ts_alpha_beta_filter,extended,False
ts_ar_coeff_stability,daily,True
ts_ar_coefficient,daily,True
ts_ar_forecast,daily,False
ts_ar_innovation,daily,False
ts_ar_innovation_z,daily,False
ts_ar_prior_coeff,daily,True
ts_ar_prior_forecast,daily,True
ts_ar_prior_innovation,daily,True
ts_ar_prior_innovation_z,daily,True
ts_argmax,daily,True
ts_argmax_age,daily,True
ts_argmax_index_from_oldest,daily,True
ts_argmin,daily,True
ts_argmin_age,daily,True
ts_argmin_index_from_oldest,daily,True
ts_autocorr,daily,True
ts_autocorr_decay_half_life,daily,True
ts_autocorrelation_time,daily,True
ts_average_volume,daily,True
ts_bessel_lowpass_causal,extended,False
ts_beta,daily,True
ts_beta_if,daily,True
ts_binned_response_curvature,daily,True
ts_binned_response_monotonicity,daily,True
ts_bottomk_mean,daily,True
ts_bottomk_std,daily,True
ts_bottomk_sum,daily,True
ts_breakdown_low,daily,True
ts_breakout_high,daily,True
ts_butterworth_lowpass_causal,extended,False
ts_causal_local_linear_smoother,extended,False
ts_causal_savgol_endpoint,extended,False
ts_channel_position,daily,True
ts_channel_width,daily,True
ts_channel_width_atr,daily,True
ts_channel_width_pct,daily,True
ts_channel_width_slope,daily,True
ts_chatterjee_xi,daily,True
ts_chord_excursion_area,daily,True
ts_conditional_mutual_information,daily,True
ts_confirmed_pivot_high,daily,True
ts_confirmed_pivot_low,daily,True
ts_consolidation_slope,daily,True
ts_consolidation_volume_decay,daily,True
ts_consolidation_width,daily,True
ts_corr,daily,True
ts_corr_if,daily,True
ts_count_if,daily,True
ts_cov,daily,True
ts_cov_if,daily,True
ts_coverage_ratio,daily,True
ts_cpt_value,daily,True
ts_cross_spectral_coherence,daily,True
ts_cross_spectral_phase,daily,True
ts_crossing_acceleration,daily,True
ts_crossing_speed,daily,True
ts_cumprod,extended,False
ts_cumsum,extended,False
ts_current_drawdown_area,daily,True
ts_current_drawdown_duration,daily,True
ts_cusum_pressure,daily,True
ts_days_since,daily,True
ts_days_since_high,daily,True
ts_days_since_low,daily,True
ts_decay_exp_window,daily,True
ts_decay_linear,daily,True
ts_delay,daily,True
ts_delay_intrinsic_dimension,daily,True
ts_delta,daily,True
ts_distance_corr,daily,True
ts_distance_correlation_partial_proxy,daily,True
ts_distance_cov,daily,True
ts_distance_to_high,daily,True
ts_distance_to_low,daily,True
ts_distance_to_resistance,daily,True
ts_distance_to_support,daily,True
ts_dominant_cycle_period,daily,True
ts_downside_deviation,daily,True
ts_edge_effective_spread,daily,True
ts_ema,daily,True
ts_endpoint_deviation,daily,True
ts_energy_break_score,daily,True
ts_envelope_boundary_dwell,daily,True
ts_envelope_compression,daily,True
ts_envelope_pressure,daily,True
ts_event_spacing_cv,daily,True
ts_event_spacing_mean,daily,True
ts_ewm_corr,daily,True
ts_ewm_cov,daily,True
ts_ewm_std,daily,True
ts_ewm_var,daily,True
ts_expected_shortfall,daily,True
ts_expected_shortfall_asymmetry,daily,True
ts_expectile_beta_spread,daily,True
ts_expectile_regression_coeff,daily,False
ts_expectile_regression_coeff_prior,daily,True
ts_expectile_regression_forecast_error,daily,True
ts_expectile_regression_resid,daily,False
ts_extrema_confirmation_rate,daily,True
ts_extrema_divergence_strength,daily,True
ts_extremal_index,daily,True
ts_extreme_cluster_ratio,daily,True
ts_ffill_limited,daily,True
ts_fir_lowpass_causal,extended,False
ts_first_passage_bias,daily,True
ts_first_passage_conditional_time,daily,True
ts_first_passage_hit_probability,daily,True
ts_forbidden_ordinal_pattern_ratio,daily,True
ts_fractional_difference,daily,True
ts_gap_fill_ratio,daily,True
ts_gap_reversion_ratio,daily,True
ts_gap_survival_duration,daily,True
ts_generalized_hurst_exponent,daily,True
ts_generalized_hurst_spread_q1_q4,daily,True
ts_glr_mean_shift_score,daily,True
ts_glr_variance_shift_score,daily,True
ts_gpd_shape_pwm,daily,True
ts_h_infinity_level_filter,extended,False
ts_hampel_filter_causal,extended,False
ts_hankel_effective_rank,daily,True
ts_hankel_singular_gap,daily,True
ts_hartigan_dip,daily,True
ts_higuchi_fractal_dimension,daily,True
ts_hill_tail_index,daily,True
ts_hsic,daily,True
ts_huber_regression_coeff,daily,False
ts_huber_regression_coeff_prior,daily,True
ts_huber_regression_forecast_error,daily,True
ts_huber_regression_forecast_error_z,daily,True
