canonical,surface,pandas_available,polars_available,duckdb_available,pandas_certified,polars_certified,duckdb_certified
bounded_pvi,daily,False,False,False,False,False,False
calendar_day_diff,daily,False,False,False,False,False,False
candle_abs_body,daily,False,False,False,False,False,False
candle_body,daily,False,False,False,False,False,False
candle_body_percentile,daily,False,False,False,False,False,False
candle_body_position,daily,False,False,False,False,False,False
candle_body_ratio,daily,False,False,False,False,False,False
candle_body_zscore,daily,False,False,False,False,False,False
candle_close_location,daily,False,False,False,False,False,False
candle_close_strength,daily,False,False,False,False,False,False
candle_direction,daily,False,False,False,False,False,False
candle_gap,daily,False,False,False,False,False,False
candle_gap_atr,daily,False,False,False,False,False,False
candle_gap_pct,daily,False,False,False,False,False,False
candle_inside_ratio,daily,False,False,False,False,False,False
candle_lower_shadow,daily,False,False,False,False,False,False
candle_lower_shadow_ratio,daily,False,False,False,False,False,False
candle_lower_shadow_zscore,daily,False,False,False,False,False,False
candle_overlap_ratio,daily,False,False,False,False,False,False
candle_range,daily,False,False,False,False,False,False
candle_range_atr,daily,False,False,False,False,False,False
candle_range_percentile,daily,False,False,False,False,False,False
candle_range_zscore,daily,False,False,False,False,False,False
candle_rejection_lower,daily,False,False,False,False,False,False
candle_rejection_upper,daily,False,False,False,False,False,False
candle_upper_shadow,daily,False,False,False,False,False,False
candle_upper_shadow_ratio,daily,False,False,False,False,False,False
candle_upper_shadow_zscore,daily,False,False,False,False,False,False
candlestick_pattern,daily,False,False,False,False,False,False
capital_change_age,daily,False,False,False,False,False,False
capital_change_magnitude,daily,False,False,False,False,False,False
cash_flow_lifecycle_stage,daily,False,False,False,False,False,False
cbrt,daily,False,False,False,False,False,False
cdl_dark_cloud_cover,daily,False,False,False,False,False,False
cdl_doji,daily,False,False,False,False,False,False
cdl_dragonfly_doji,daily,False,False,False,False,False,False
cdl_engulfing,daily,False,False,False,False,False,False
cdl_evening_star,daily,False,False,False,False,False,False
cdl_gravestone_doji,daily,False,False,False,False,False,False
cdl_hammer,daily,False,False,False,False,False,False
cdl_hanging_man,daily,False,False,False,False,False,False
cdl_harami,daily,False,False,False,False,False,False
cdl_harami_cross,daily,False,False,False,False,False,False
cdl_inside_bar,daily,False,False,False,False,False,False
cdl_inverted_hammer,daily,False,False,False,False,False,False
cdl_marubozu,daily,False,False,False,False,False,False
cdl_morning_star,daily,False,False,False,False,False,False
cdl_outside_bar,daily,False,False,False,False,False,False
cdl_piercing,daily,False,False,False,False,False,False
cdl_shooting_star,daily,False,False,False,False,False,False
cdl_spinning_top,daily,False,False,False,False,False,False
cdl_three_black_crows,daily,False,False,False,False,False,False
cdl_three_white_soldiers,daily,False,False,False,False,False,False
cdl_tweezer_bottom,daily,False,False,False,False,False,False
cdl_tweezer_top,daily,False,False,False,False,False,False
ceil,daily,True,True,True,True,True,True
choppiness_index,daily,False,False,False,False,False,False
circulating_cap_unlock_proxy,daily,False,False,False,False,False,False
clip,daily,True,True,True,True,True,True
coalesce,daily,True,True,True,True,True,True
composition_aitchison_distance,daily,False,False,False,False,False,False
composition_clr_component,daily,False,False,False,False,False,False
composition_entropy,daily,False,False,False,False,False,False
composition_ilr_balance,daily,False,False,False,False,False,False
composition_js_divergence,daily,False,False,False,False,False,False
constant,internal,False,False,False,False,False,False
corwin_schultz_spread,daily,False,False,False,False,False,False
cos,daily,False,False,False,False,False,False
cos_phase,extended,False,False,False,False,False,False
cosh,unsafe,False,False,False,False,False,False
coskewness_to_market,daily,False,False,False,False,False,False
cot,unsafe,False,False,False,False,False,False
cross_event,daily,False,False,False,False,False,False
cs_actual_lof_score,daily,False,False,False,False,False,False
cs_bucket,daily,False,False,False,False,False,False
cs_bucket_fixed,daily,False,False,False,False,False,False
cs_bucket_historical,daily,False,False,False,False,False,False
cs_clip,extended,False,False,False,False,False,False
cs_count,daily,True,True,True,True,True,True
cs_coverage_ratio,daily,False,False,False,False,False,False
cs_demean,daily,True,True,True,True,True,True
cs_fill_mean,daily,False,False,False,False,False,False
cs_fill_median,daily,False,False,False,False,False,False
cs_hartigan_dip,daily,False,False,False,False,False,False
cs_huber_resid,daily,False,False,False,False,False,False
cs_impute_mean,daily,False,False,False,False,False,False
cs_impute_median,daily,False,False,False,False,False,False
cs_iqr,extended,False,False,False,False,False,False
cs_isolation,daily,False,False,False,False,False,False
cs_isotonic_residual,daily,False,False,False,False,False,False
cs_knn_distance,daily,False,False,False,False,False,False
cs_knn_graph_dirichlet_energy,daily,False,False,False,False,False,False
cs_knn_local_moran,daily,False,False,False,False,False,False
cs_knn_neighbor_retention,daily,False,False,False,False,False,False
cs_knn_peer_mean_ex_self,daily,False,False,False,False,False,False
cs_lad_resid,daily,False,False,False,False,False,False
cs_local_curvature,daily,False,False,False,False,False,False
cs_local_density,daily,False,False,False,False,False,False
cs_local_density_score,daily,False,False,False,False,False,False
cs_mad,daily,True,True,True,True,True,True
cs_mad_zscore,daily,True,True,True,True,True,True
cs_mahalanobis_distance,daily,False,False,False,False,False,False
cs_mean,daily,True,True,True,True,True,True
cs_median,extended,False,False,False,False,False,False
cs_multi_resid,daily,False,False,False,False,False,False
cs_neighbor_gap,daily,False,False,False,False,False,False
cs_neutralize,daily,False,False,False,False,False,False
cs_normalize,extended,False,False,False,False,False,False
cs_outlier_score,extended,False,False,False,False,False,False
cs_pct_rank,daily,True,True,True,True,True,True
cs_quantile,daily,False,False,False,False,False,False
cs_quantile_resid,daily,False,False,False,False,False,False
cs_rank_churn,daily,False,False,False,False,False,False
cs_rank_gaussian,daily,False,False,False,False,False,False
cs_regression,daily,False,False,False,False,False,False
cs_relative_density_ratio,daily,False,False,False,False,False,False
cs_resid,daily,False,False,False,False,False,False
cs_residual_percentile,daily,False,False,False,False,False,False
