canonical,model_family,lane,explicit_timing,role,cost_class,stateful
ts_expectile_beta_spread,regression,DIAGNOSTIC_RESEARCH,False,,,False
ts_expectile_regression_coeff,regression,EXPENSIVE_CERTIFIED_ALPHA,False,,,False
ts_expectile_regression_coeff_prior,regression,FAST_NATIVE_ALPHA,False,,,False
ts_expectile_regression_forecast_error,regression,FAST_NATIVE_ALPHA,False,,,False
ts_expectile_regression_resid,regression,DIAGNOSTIC_RESEARCH,False,,,False
ts_feature_pca_reconstruction_error,pca,DIAGNOSTIC_RESEARCH,False,,,False
ts_first_passage_bias,dmd,DIAGNOSTIC_RESEARCH,False,,,False
ts_first_passage_conditional_time,dmd,DIAGNOSTIC_RESEARCH,False,,,False
ts_first_passage_hit_probability,dmd,DIAGNOSTIC_RESEARCH,False,,,False
ts_garch_next_vol_forecast,garch,EXPENSIVE_CERTIFIED_ALPHA,True,model_score,high,False
ts_garch_persistence,garch,EXPENSIVE_CERTIFIED_ALPHA,True,,,False
ts_garch_standardized_shock,garch,EXPENSIVE_CERTIFIED_ALPHA,True,model_feature,high,False
ts_garch_vol_surprise,garch,EXPENSIVE_CERTIFIED_ALPHA,True,,,False
ts_gjr_garch_vol_forecast,garch,EXPENSIVE_CERTIFIED_ALPHA,True,,,False
ts_gjr_leverage,garch,EXPENSIVE_CERTIFIED_ALPHA,False,,,False
ts_hankel_effective_rank,hankel,EXPENSIVE_CERTIFIED_ALPHA,True,,,False
ts_hankel_singular_gap,hankel,EXPENSIVE_CERTIFIED_ALPHA,True,,,False
ts_har_from_return_forecast_error_z,har,FAST_NATIVE_ALPHA,True,,,False
ts_har_from_return_next_vol,har,FAST_NATIVE_ALPHA,True,,,False
ts_har_rv_forecast,har,FAST_NATIVE_ALPHA,True,,,False
ts_har_rv_forecast_error_z,har,FAST_NATIVE_ALPHA,True,,,False
ts_har_rv_innovation_z,har,FAST_NATIVE_ALPHA,True,,,False
ts_har_rv_next_var_forecast,har,FAST_NATIVE_ALPHA,True,,,False
ts_har_rv_next_vol_forecast,har,FAST_NATIVE_ALPHA,True,model_score,medium,False
ts_hsic,kernel,DIAGNOSTIC_RESEARCH,False,,,False
ts_huber_regression_coeff,regression,EXPENSIVE_CERTIFIED_ALPHA,False,,,False
ts_huber_regression_coeff_prior,regression,FAST_NATIVE_ALPHA,False,,,False
ts_huber_regression_forecast_error,regression,FAST_NATIVE_ALPHA,False,,,False
ts_huber_regression_forecast_error_z,regression,FAST_NATIVE_ALPHA,False,,,False
ts_huber_regression_in_sample_resid,regression,DIAGNOSTIC_RESEARCH,False,,,False
ts_huber_regression_predictive_resid,regression,FAST_NATIVE_ALPHA,False,,,False
ts_huber_regression_resid_z,regression,DIAGNOSTIC_RESEARCH,False,,,False
ts_hvg_assortativity,entropy,DIAGNOSTIC_RESEARCH,False,,,False
ts_hvg_clustering_coefficient,entropy,DIAGNOSTIC_RESEARCH,False,,,False
ts_hvg_degree_entropy,entropy,DIAGNOSTIC_RESEARCH,False,,,False
ts_hvg_forward_backward_asymmetry,entropy,DIAGNOSTIC_RESEARCH,False,,,False
ts_hvg_motif_entropy,rqa,DIAGNOSTIC_RESEARCH,False,,,False
ts_hysteresis_age,generic,DIAGNOSTIC_RESEARCH,False,,,False
ts_hysteresis_state,state,DIAGNOSTIC_RESEARCH,False,,,False
ts_kalman_beta,kalman,FAST_NATIVE_ALPHA,True,,,False
ts_kalman_beta_change,kalman,FAST_NATIVE_ALPHA,True,,,False
ts_kalman_beta_uncertainty,kalman,FAST_NATIVE_ALPHA,True,,,False
ts_kalman_innovation_z,kalman,FAST_NATIVE_ALPHA,True,,,False
ts_kalman_level,kalman,FAST_NATIVE_ALPHA,True,model_feature,low,True
ts_kalman_trend,kalman,FAST_NATIVE_ALPHA,True,,,False
ts_kernel_granger_score,kernel,DIAGNOSTIC_RESEARCH,False,,,False
