canonical	inspection_scope	schema_discovery_status	research_callable	contract_status	panel_params	unknown_parameters	unresolved_reason	numerical_evidence_status	production_callable
TSI	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		close	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
TSI_signal	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		close	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
UltimateOscillator	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		close,high,low	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
VortexMinus	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		close,high,low	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
VortexPlus	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		close,high,low	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
WMA	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown	x	window	MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
a_share_cap_ratio	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		a_cap,capitalization	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
abnormal_turnover	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		turnover,window	MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
abnormal_volume	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		volume,window	MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
abs	all runtime canonicals; metadata/topology/schema discovery only	SCOPED_CHECKED_SCHEMA_DISCOVERY	true	declared	x			UNVERIFIED_NO_TRUSTED_PASS	false
abs_return_volume_corr	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		ret,volume,window	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
accounting_comparability_score	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		industry,min_peers,min_periods,period_id,periods,report_return,revision_policy,scaled_earnings	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
acos	all runtime canonicals; metadata/topology/schema discovery only	SCOPED_CHECKED_SCHEMA_DISCOVERY	true	declared	x			UNVERIFIED_NO_TRUSTED_PASS	false
acos_bounded	all runtime canonicals; metadata/topology/schema discovery only	SCOPED_CHECKED_SCHEMA_DISCOVERY	true	declared	x			UNVERIFIED_NO_TRUSTED_PASS	false
add	all runtime canonicals; metadata/topology/schema discovery only	SCOPED_CHECKED_SCHEMA_DISCOVERY	true	unknown		x,y		UNVERIFIED_NO_TRUSTED_PASS	false
adv	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		close,volume,window	MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
altman_z_score	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		market_cap,mask,operating_profit,period_id,retained_earnings,revenue,total_assets,total_liabilities,working_capital	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
amihud_illiquidity	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		close,ret,volume,window	MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
and_	all runtime canonicals; metadata/topology/schema discovery only	SCOPED_CHECKED_SCHEMA_DISCOVERY	true	unknown		x,y		UNVERIFIED_NO_TRUSTED_PASS	false
aq1_accrual_ratio_dispersion	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown	working_capital,earnings	min_periods,window	MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
aq1_accrual_stability	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown	working_capital,earnings	min_periods,window	MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
aq1_cash_conversion_strength	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown	operating_cash_flow,earnings	min_periods,window	MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
aq1_cash_flow_volatility	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown	operating_cash_flow	min_periods,window	MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
aq1_working_capital_accrual	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown	working_capital,earnings	min_periods	MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
arg	all runtime canonicals; metadata/topology/schema discovery only	SCOPED_CHECKED_SCHEMA_DISCOVERY	true	declared	x			UNVERIFIED_NO_TRUSTED_PASS	false
ashare_days_since_limit_down	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown	limit_down_event	max_lookback	MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
ashare_days_since_limit_up	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown	limit_up_event	max_lookback	MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
ashare_failed_limit_count	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown	high,low,close,high_limit,low_limit	side,tick_tolerance,window	MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
ashare_limit_asymmetry	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown	up_event,down_event	window	MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
ashare_limit_distance	all runtime canonicals; metadata/topology/schema discovery only	SCOPED_CHECKED_SCHEMA_DISCOVERY	true	declared	close,upper_limit			UNVERIFIED_NO_TRUSTED_PASS	false
ashare_limit_down_streak	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown	close,low_limit,valid_trade	tick_tolerance	MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
ashare_limit_down_touch	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown	low,lower_limit	tick_tolerance	MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
ashare_limit_down_volume_ratio	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown	volume,limit_down_event	window	MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
ashare_limit_event_density	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown	event,known_status	window	MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
ashare_limit_failed	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown	high,close,upper_limit	tick_tolerance	MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
ashare_limit_one_price	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown	high,low,close,upper_limit,lower_limit	open,side,tick_tolerance	MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
ashare_limit_open_down_streak	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown	low_limit,valid_trade	open,tick_tolerance	MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
ashare_limit_open_failed	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown	low,upper_limit	open,tick_tolerance	MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
ashare_limit_open_up_streak	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown	high_limit,valid_trade	open,tick_tolerance	MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
ashare_limit_touch_count	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown	high,low,high_limit,low_limit	side,tick_tolerance,window	MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
ashare_limit_up_streak	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown	close,high_limit,valid_trade	tick_tolerance	MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
ashare_limit_up_touch	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown	high,upper_limit	tick_tolerance	MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
ashare_limit_up_volume_ratio	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown	volume,limit_up_event	window	MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
ashare_one_price_limit_streak	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown	high,low,close,high_limit,low_limit,valid_trade	open,side,tick_tolerance	MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
ashare_open_at_upper_limit	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown	upper_limit	open,tick_tolerance	MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
ashare_suspension_episode_length	all runtime canonicals; metadata/topology/schema discovery only	SCOPED_CHECKED_SCHEMA_DISCOVERY	true	declared	is_suspend			UNVERIFIED_NO_TRUSTED_PASS	false
asin	all runtime canonicals; metadata/topology/schema discovery only	SCOPED_CHECKED_SCHEMA_DISCOVERY	true	declared	x			UNVERIFIED_NO_TRUSTED_PASS	false
