canonical,model_family,category,source_file,surface,descriptive_or_predictive,fit_cutoff_offset,feature_cutoff,score_time,forecast_horizon,label_horizon,label_used,label_maturity_enforced,purge,embargo,scaler_scope,pca_scope,hyperparam_scope,filter_or_smoother,timing_contract_source,in_sample_looks_predictive
panel_rolling_pcr_forecast,panel_model,panel_model,cleaned_operators.cross_section.panel_model,extended,predictive,1,1,0,1,1,True,True,0,0,train,train,train,none,explicit,False
panel_rolling_pls_forecast,panel_model,panel_model,cleaned_operators.cross_section.panel_model,extended,predictive,1,1,0,1,1,True,True,0,0,train,train,train,none,explicit,False
pattern_bear_flag,generic,chart_pattern,cleaned_operators.price_volume.structure_patterns_v2,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
pattern_bear_pennant,generic,chart_pattern,cleaned_operators.price_volume.structure_patterns_extra_v2,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
signed_dollar_volume,generic,price_volume_extension,cleaned_operators.price_volume.technical_extensions,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
state_deadband,state,time_series_state,cleaned_operators.stateful.rule_language,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
state_episode_efficiency,state,state_episode_excursion,cleaned_operators.state_episode_excursion,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
state_episode_excursion_balance,state,state_episode_excursion,cleaned_operators.state_episode_excursion,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
state_episode_mae,state,state_episode_excursion,cleaned_operators.state_episode_excursion,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
state_episode_mfe,state,state_episode_excursion,cleaned_operators.state_episode_excursion,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
state_episode_retrace_ratio,state,state_episode_excursion,cleaned_operators.state_episode_excursion,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
state_ewm_if,state,time_series_state,cleaned_operators.stateful.sequential,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
state_hold,state,time_series_state,cleaned_operators.stateful.rule_language,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
state_latch,state,time_series_state,cleaned_operators.stateful.rule_language,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
state_since_count,state,time_series_state,cleaned_operators.stateful.episode,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
state_since_last,state,time_series_state,cleaned_operators.stateful.episode,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
state_since_mean,state,time_series_state,cleaned_operators.stateful.episode,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
state_since_sum,state,time_series_state,cleaned_operators.stateful.episode,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
state_since_trend_tstat,state,time_series_regression,cleaned_operators.stateful.episode,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
state_slew_limit,state,time_series_state,cleaned_operators.stateful.rule_language,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
tradable_state,state,math,cleaned_operators.common.polars_cs_misc,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
ts_active_information_storage,generic,state_dynamics,cleaned_operators.markov_dynamics,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
ts_ar_coeff_stability,ar,time_series_regression,cleaned_operators.ts_model.ar_meanrev,daily,predictive,1,1,0,0,,False,False,0,0,full,full,full,none,explicit,False
ts_ar_coefficient,ar,time_series_regression,cleaned_operators.regression_models,daily,predictive,1,1,0,0,,False,False,0,0,full,full,full,none,explicit,False
ts_ar_fitted_value,ar,time_series_regression,cleaned_operators.ts_model.ar_meanrev,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,explicit,False
ts_ar_forecast,ar,time_series_regression,cleaned_operators.ts_model.ar_meanrev,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,explicit,True
ts_ar_in_sample_resid,ar,time_series_regression,cleaned_operators.ts_model.ar_meanrev,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,explicit,False
ts_ar_innovation,ar,time_series_regression,cleaned_operators.ts_model.ar_meanrev,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,explicit,True
ts_ar_innovation_z,ar,time_series_regression,cleaned_operators.ts_model.ar_meanrev,daily,predictive,1,1,0,0,,False,False,0,0,train,train,train,none,generated,False
ts_ar_prior_coeff,ar,time_series_regression,cleaned_operators.ts_model.ar_meanrev,daily,predictive,1,1,0,0,,False,False,0,0,full,full,full,none,explicit,False
ts_ar_prior_forecast,ar,time_series_regression,cleaned_operators.ts_model.ar_meanrev,daily,predictive,1,1,0,1,,False,False,0,0,full,full,full,none,explicit,False
ts_ar_prior_innovation,ar,time_series_regression,cleaned_operators.ts_model.ar_meanrev,daily,predictive,1,1,0,1,,False,False,0,0,full,full,full,none,explicit,False
ts_ar_prior_innovation_z,ar,time_series_regression,cleaned_operators.ts_model.ar_meanrev,daily,predictive,1,1,0,1,,False,False,0,0,full,full,full,none,explicit,False
ts_bicoherence_top_decile_excess,generic,research_spectral,cleaned_operators.gemini_v2_common,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
ts_bicoherence_top_decile_mean,generic,research_spectral,cleaned_operators.gemini_v2_common,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
