date,ic
2021-02-09,-0.428856049410994
2021-02-10,-0.394582009794343
2021-02-18,-0.32920340853281
2021-02-19,-0.3313125562357045
2021-02-22,-0.3469216380248487
2021-02-23,-0.3222202246073001
2021-02-24,-0.24373191160432067
2021-02-25,-0.2522793623903093
2021-02-26,-0.34763207006799635
2021-03-01,-0.3613022734323083
2021-03-02,-0.2786079405391228
2021-03-03,-0.1691030667324147
2021-03-04,-0.1123946537782249
2021-03-05,-0.03184934161882063
2021-03-08,0.07993066873371454
2021-03-09,-0.0062215354447341005
2021-03-10,-0.06177883222613113
2021-03-11,0.10392027080330314
2021-03-12,0.2984714574775872
2021-03-15,0.36832708488118615
2021-03-16,0.29772036805140245
2021-03-17,0.2784022239635811
2021-03-18,0.36794774869313807
2021-03-19,0.379799769921627
2021-03-22,0.34389837406546797
2021-03-23,0.2698397975218997
2021-03-24,0.25652135824819655
2021-03-25,0.032917021850796355
2021-03-26,0.06268973526935513
2021-03-29,0.017511018248040678
2021-03-30,0.010523143150949545
2021-03-31,-0.07450717459046527
2021-04-01,-0.08122487638543689
2021-04-02,-0.005150602268235787
2021-04-20,-0.030893920155665125
2021-04-21,-0.08092488461615979
2021-04-22,-0.14874071753266388
2021-04-23,-0.1345501999864416
2021-04-26,-0.07906518476988277
2021-04-27,-0.002045211776755401
2021-04-28,0.02300073368831786
2021-04-29,-0.012478311136029258
2021-04-30,0.1594010300035819
2021-05-06,0.18858114390104963
2021-05-07,0.2099312552332687
2021-05-10,0.25841537083147825
2021-05-11,0.3039761848486681
2021-05-12,0.37176957311185505
2021-05-13,0.32702985860668604
2021-05-14,0.25207432708116234
2021-05-17,0.28617783656649176
2021-05-18,0.2626691207683968
2021-05-19,0.11988744234099673
2021-05-20,0.24545867835315754
2021-05-21,0.24631495436864567
2021-05-24,0.13473800218766663
2021-05-25,0.17317149364129233
2021-05-26,0.14899884810819702
2021-05-27,0.11216784203361387
2021-05-28,0.1578720269995438
2021-05-31,0.03639102800176626
2021-06-01,0.03410306314691947
2021-06-02,0.1150034394144884
2021-06-03,0.0693670412366735
2021-06-04,0.009722657373664087
2021-06-07,0.06472259324608319
2021-06-08,0.008145576937523248
2021-06-09,-0.06751580744869336
2021-06-10,0.04552783933199238
2021-06-11,0.013170661490959645
2021-06-15,0.03730874376230402
2021-06-16,0.08637343872243201
2021-06-17,-0.01563706150308128
2021-06-18,-0.04868154808596305
2021-06-21,-0.09416493980252372
2021-06-22,-0.030938351408150072
2021-06-23,0.014781180064427711
2021-06-24,-0.02568836671727801
2021-06-25,-0.014855154116899085
2021-06-28,-0.001996199982777164
2021-06-29,0.05869276842431206
2021-06-30,0.04489709355481168
2021-07-01,0.03787833416222083
2021-07-02,0.030157372536971185
2021-07-19,-0.006323895585640553
2021-07-20,-0.04696200165998824
2021-07-21,-0.057595728736668336
2021-07-22,0.014083332875279185
2021-07-23,0.03349246134481034
2021-07-26,0.009424464122450701
2021-07-27,0.05132908991969395
2021-07-28,0.007383832887188592
2021-07-29,0.12859366382856316
2021-07-30,0.14139352897742163
2021-08-02,0.01677073656939429
2021-08-03,-0.09572598834343803
2021-08-04,-0.10466170868855433
2021-08-05,-0.14662817179595702
2021-08-06,-0.1675639947452028
2021-08-09,-0.15807448693354736
2021-08-10,-0.15117115284900523
2021-08-11,-0.2133107787470204
2021-08-12,-0.25277672425323433
2021-08-13,-0.20360964991837477
2021-08-16,-0.14145811461247704
2021-08-17,-0.19268093596952657
2021-08-18,-0.19028989331002755
2021-08-19,-0.20128090262318452
2021-08-20,-0.17231539043619584
2021-08-23,-0.15047674275862197
2021-08-24,-0.21238230298632987
2021-08-25,-0.2208169120920799
2021-08-26,-0.3142338494687488
2021-08-27,-0.25138149131437726
2021-08-30,-0.06430897034923881
2021-08-31,-0.025211758433234945
2021-09-01,-0.015669116340257284
2021-09-02,0.048167142126873674
2021-09-03,-0.029095599565398225
2021-09-06,-0.06331087035785023
2021-09-07,0.06469923248446739
2021-09-08,0.24958820931975298
2021-09-09,0.28355384060082045
2021-09-10,0.2789966598691431
2021-09-13,0.26908161975276074
2021-09-14,0.2751435083649849
2021-09-15,0.27558507256493836
2021-09-16,0.21046809469628266
2021-09-17,0.1926438335834309
2021-09-22,0.22161117798701693
2021-09-23,0.1941123551861807
2021-09-24,0.016463840289343647
2021-09-27,0.032162272095158005
2021-09-28,0.07260020850624879
2021-09-29,-0.015077310379323805
2021-09-30,0.10014117228882331
2021-10-22,0.04954451095390693
2021-10-25,0.06287846724088335
2021-10-26,0.06739854558646506
2021-10-27,0.022161117798701693
2021-10-28,-0.043685998383984966
2021-10-29,0.05964323078417038
