canonical,surface,available_at,same_session_usable,inferred_available_at,inferred_same_session_usable,input_panels,status
event_response_reversal_strength,daily,,,,,"['response', 'event']",OK
event_return_since_last,daily,,,session_close,False,"['ret', 'event']",NEEDS_DECL
exp,daily,,,,,['x'],OK
exp_neg,daily,,,,,['x'],OK
expanding_rank,daily,,,,,['x'],OK
ffill_limit,daily,,,,,[],OK
fillna_const,daily,,,,,['x'],OK
fin_accrual_ratio,daily,,,,,[],OK
fin_acquisition_cash_intensity,daily,,,,,[],OK
fin_actual_expectation_divergence,daily,,,,,[],OK
fin_announcement_lag,daily,,,,,"['period_end_date', 'pub_date']",OK
fin_applicability_mask,daily,,,,,['value'],OK
fin_average_balance,daily,,,,,[],OK
fin_beat_streak,daily,,,,,[],OK
fin_borrowing_intensity,daily,,,,,[],OK
fin_cagr,daily,,,,,[],OK
fin_capex_growth,daily,,,,,[],OK
fin_capex_intensity,daily,,,,,[],OK
fin_cash_burn_runway,daily,,,,,[],OK
fin_cash_conversion,daily,,,,,[],OK
fin_cash_earnings_gap,daily,,,,,[],OK
fin_cash_sales_divergence,daily,,,,,[],OK
fin_cashflow_persistence,daily,,,,,[],OK
fin_common_size,daily,,,,,[],OK
fin_component_score,daily,,,,,[],OK
fin_comprehensive_income_gap,daily,,,,,[],OK
fin_contract_asset_growth,daily,,,,,[],OK
fin_contract_asset_intensity,daily,,,,,[],OK
fin_contract_asset_liability_gap,daily,,,,,[],OK
fin_contract_liability_growth,daily,,,,,[],OK
fin_contract_liability_intensity,daily,,,,,[],OK
fin_core_earnings_ratio,daily,,,,,[],OK
fin_cv,daily,,,,,[],OK
fin_days_since_expectation_revision,daily,,,,,[],OK
fin_days_since_update,daily,,,,,[],OK
fin_debt_repayment_intensity,daily,,,,,[],OK
fin_debt_service_coverage_proxy,daily,,,,,[],OK
fin_deferred_tax_gap,daily,,,,,[],OK
fin_delta_noa,daily,,,,,[],OK
fin_diff,daily,,,,,[],OK
fin_discontinued_operation_ratio,daily,,,,,[],OK
fin_divergence,daily,,,,,[],OK
fin_earnings_cash_gap_volatility,daily,,,,,[],OK
fin_earnings_persistence,daily,,,,,[],OK
fin_earnings_smoothness,daily,,,,,[],OK
fin_equity_capital_growth,daily,,,,,[],OK
fin_expectation_dispersion,daily,,,,,[],OK
fin_expectation_revision,daily,,,,,[],OK
fin_expectation_revision_count,daily,,,,,[],OK
fin_expectation_revision_magnitude,daily,,,,,[],OK
fin_expectation_revision_pct,daily,,,,,[],OK
fin_expectation_revision_speed,daily,,,,,[],OK
fin_expense_sales_divergence,daily,,,,,[],OK
fin_fair_value_income_dependence,daily,,,,,[],OK
fin_financing_gap,daily,,,,,[],OK
fin_fundamental_strength_coverage,extended,,,,,[],OK
fin_fundamental_strength_score,daily,,,,,[],OK
fin_goodwill_intensity,daily,,,,,[],OK
fin_goodwill_risk_score,daily,,,,,[],OK
fin_growth,daily,,,,,[],OK
fin_growth_acceleration,daily,,,,,[],OK
fin_growth_change,daily,,,,,[],OK
fin_growth_persistence,daily,,,,,[],OK
fin_growth_stability,daily,,,,,[],OK
fin_growth_volatility,daily,,,,,[],OK
fin_impairment_intensity,daily,,,,,[],OK
fin_interest_coverage_proxy,daily,,,,,[],OK
fin_inventory_sales_divergence,daily,,,,,[],OK
fin_investment_income_dependence,daily,,,,,[],OK
fin_lag,daily,,,,,[],OK
fin_lease_asset_liability_gap,daily,,,,,[],OK
fin_lease_intensity,daily,,,,,[],OK
fin_log_change,daily,,,,,[],OK
fin_mad,daily,,,,,[],OK
fin_margin_persistence,daily,,,,,[],OK
fin_mean_abs_deviation,extended,,,,,[],OK
fin_median_abs_deviation,extended,,,,,[],OK
fin_minority_profit_share,daily,,,,,[],OK
fin_miss_streak,daily,,,,,[],OK
fin_monotonicity,daily,,,,,[],OK
fin_negative_streak,daily,,,,,[],OK
fin_net_borrowing_cashflow,daily,,,,,[],OK
